Year,Month,Country,Monthly_RD_Expenditure_Tempdisagg_GT_NNelasticity,Monthly_RD_Expenditure_Tempdisagg_Sax,Monthly_RD_Expenditure_Tempdisagg_Mosley
2008,2,US,39.34385970272876,36.745148993141,33.4860654458338
2008,3,US,42.91372871571805,39.1165915125153,40.2129505181045
2008,4,US,40.49655136312246,35.6159967768006,37.8504984863919
2008,5,US,36.391699068905446,37.6091787237613,36.8427044521292
2008,6,US,36.19417250636129,40.832556558926,39.5811440722983
2008,7,US,35.65952146672055,39.7222103455026,37.5198452777637
2008,8,US,33.3039683005714,38.2395986574368,35.5720366523734
2008,9,US,36.47926008618488,33.9390601023044,37.1794671005526
2008,10,US,38.7399652403881,35.7880045091079,42.1945448477368
2008,11,US,33.32732341269541,36.9296951091067,34.0869254179271
2008,12,US,34.65815312881367,37.6099267676472,35.6210118513054
2009,1,US,35.90103548313846,34.5038790513281,35.2489393544582
2009,2,US,44.77412923989407,35.6169067082288,36.8706860077405
2009,3,US,38.10196445104073,37.0941334089327,39.0561565142298
2009,4,US,40.35040839648902,38.217646229763,38.5499542854467
2009,5,US,37.074017388420614,37.7733250845989,36.5088271719195
2009,6,US,35.71426796592669,40.2172634452594,38.6856689638381
2009,7,US,34.112137172330876,41.3097383344391,37.2093057707204
2009,8,US,34.62151813595951,40.6980537909665,38.2141263957071
2009,9,US,36.27121386687812,33.5997409307427,35.8982124925994
2009,10,US,35.91910768642201,31.6618434869577,39.0599893575749
2009,11,US,36.23669124981975,37.6063434647557,35.9400016408502
2009,12,US,36.2447097920221,37.0223268923694,34.0793328732573
2010,1,US,41.61224217610297,37.3040469306713,37.3324562217654
2010,2,US,41.15940859799477,35.5167671637215,37.7185865053814
2010,3,US,44.301899208908914,37.7073723116369,43.8650382103662
2010,4,US,44.1328854668867,35.478404420193,42.4547292761795
2010,5,US,37.36776043409396,38.4418559157215,37.9212417405837
2010,6,US,35.608744862403455,41.9536026516187,37.3294387953287
2010,7,US,32.40487924406739,43.1959120614222,36.5611825537783
2010,8,US,32.91386260052473,39.9343564538418,35.9587758287146
2010,9,US,36.625831062100325,32.7736780022943,33.3616731436752
2010,10,US,33.45769858130711,33.7926738822277,34.3210838547451
2010,11,US,33.24024666135376,33.8617637204632,36.323907300291
2010,12,US,31.883122994715908,34.748148376648,31.560468459651
2011,1,US,41.97395454866415,38.82756974914,39.8456401814422
2011,2,US,46.1995175518726,36.3042847743038,38.1499058115584
2011,3,US,42.57856692321132,39.8842644956956,43.4273188213024
2011,4,US,43.565248204138776,36.3475773622169,41.0401340500366
2011,5,US,36.09434344031907,38.0047273701718,38.0567237299561
2011,6,US,35.83307783032115,40.8768531393659,38.4856959971162
2011,7,US,33.55312406627054,45.8296516401783,37.7637950698583
2011,8,US,36.417201255325224,38.9519616896249,37.7962369281492
2011,9,US,35.937465387958454,33.5801858675042,35.4779181051565
2011,10,US,36.615263974885174,34.287770858914,36.6412974380226
2011,11,US,34.68178140381766,35.7832906975031,35.6159709688511
2011,12,US,32.07612832200388,36.8475352641696,33.2250358073384
2012,1,US,43.38681447819674,38.3322423380927,40.3176817337952
2012,2,US,43.88962164543887,37.849118334681,40.7940533754154
2012,3,US,41.568818869918545,37.9967734699162,39.7297014335373
2012,4,US,40.07855353646728,37.9247616326346,38.657801840876
2012,5,US,35.875867653691344,39.6361796464693,39.6642533244553
2012,6,US,36.86509984794212,44.054969566281,40.4733220112585
2012,7,US,32.765600223171454,44.6772384463298,36.9580012999513
2012,8,US,36.904850146497125,38.2830406023781,37.3302533538792
2012,9,US,39.21896045522466,33.1110943666381,37.548880461094
2012,10,US,38.35537243904413,34.30355280596,37.8159263528314
2012,11,US,34.08745191333713,32.7110470730984,33.4829459068017
2012,12,US,31.82339546996866,35.9403883964189,32.0475855850027
2013,1,US,46.13997442910137,38.6598074655354,38.9376973635049
2013,2,US,45.210328432193954,38.482854913421,39.6320176398373
2013,3,US,41.79228310282159,38.9224580300009,39.0331014104391
2013,4,US,41.10704603660312,37.6740779868615,40.1145563875472
2013,5,US,36.85017244775237,40.2919060960009,40.1772863496426
2013,6,US,34.57216153824553,44.9133973922323,39.6177304571196
2013,7,US,33.88843350258828,44.2024921071675,39.0005855114321
2013,8,US,37.40705791631219,43.4207795351011,39.7265644463031
2013,9,US,38.59677693038955,35.4384949539802,38.1497664012638
2013,10,US,39.33508897346093,32.408200446948,38.7856571306215
2013,11,US,38.80616764896276,36.9096909339997,38.7432044559623
2013,12,US,34.57173321321836,36.9530643104017,36.3590566179765
2014,1,US,43.915427570686866,36.9706561174853,41.1461640241047
2014,2,US,47.634847274845974,40.5507147863867,43.5595357498045
2014,3,US,42.03203995980504,39.1688663366842,40.333382756249
2014,4,US,43.91464880482038,40.0036708920944,42.6719933564589
2014,5,US,37.37727504039788,41.4698345946414,39.8435210040486
2014,6,US,37.95231158876667,46.1984845714102,39.4011763106138
2014,7,US,38.82552712591113,46.8767165086491,42.6564183389162
2014,8,US,36.20502774509031,45.246495148809,39.9498938636086
2014,9,US,40.85859558126244,36.2432135115929,40.7307648665664
2014,10,US,40.441976711959235,34.3308299240178,39.2466831726946
2014,11,US,37.6058733781743,36.4040758302433,36.6245713400252
2014,12,US,35.01193184034678,38.3119244000526,35.6113778389766
2015,1,US,45.37833579792262,40.4351121581914,40.6233282606909
2015,2,US,45.998661597878915,41.862716517406,41.4446414962576
2015,3,US,45.77816830534291,43.9230828008522,43.6444823896855
2015,4,US,45.7937777201197,42.7193714359559,45.7748387074028
2015,5,US,39.00985136732389,46.041704675894,43.5386171480685
2015,6,US,41.405138378805944,46.5310407805877,43.4375246680306
2015,7,US,37.57287098838446,49.1340168659524,42.0698780049277
2015,8,US,42.28017883664003,46.788206762691,45.2061093006287
2015,9,US,41.07868792016841,36.1709420535705,41.2773982459624
2015,10,US,44.5705744091755,37.0888753321751,42.3842275681599
2015,11,US,39.393529611090976,37.3910899332173,39.6766045736136
2015,12,US,39.141225067146685,39.3148406835066,38.3233496365718
2016,1,US,47.34713223415782,43.1070227934286,45.647177617306
2016,2,US,51.20697548210736,40.7569701187678,46.1285673135061
2016,3,US,47.702710434519375,43.8900106497481,46.2872775254006
2016,4,US,47.98250964651767,42.2166914608195,46.5805730083508
2016,5,US,43.13179993989512,44.5682496789465,46.2536316765223
2016,6,US,41.39985138655443,50.4854512449744,46.625375489312
2016,7,US,38.96456415227828,54.0219604993,45.6341686153499
2016,8,US,42.15630702774923,47.0831215225129,44.1001014359143
2016,9,US,44.63587093433662,37.7821101296772,43.8158226054356
2016,10,US,43.61769830971228,39.9716502349646,43.4356693793418
2016,11,US,41.834303690718706,40.9267349449318,38.2789087698635
2016,12,US,38.191977664510176,43.3617276249856,35.3844274667541
2017,1,US,44.74269513114668,47.2013571295342,41.8731281449768
2017,2,US,48.89078807348116,40.8153403533238,42.8029557323669
2017,3,US,49.58316246699281,43.9273773193896,44.8845499619526
2017,4,US,52.21937252210669,52.2413131786613,54.7276013029209
2017,5,US,45.313415574850296,44.9968825849721,46.6569288934822
2017,6,US,42.01821286456651,51.1416973972573,45.7481121069065
2017,7,US,38.755112979609784,54.3687012648094,44.422450512367
2017,8,US,40.82050385474808,47.9333732806726,45.5407340032456
2017,9,US,45.67849069866692,44.7173920794819,45.3115237366154
2017,10,US,54.21908489195278,38.6022442401824,50.0025453561715
2017,11,US,44.837333347419715,40.7389327951698,46.6683804450848
2017,12,US,42.55279712109859,42.9463579031858,40.9920593305498
2018,1,US,55.37064891147171,43.1685360084075,48.7125272080325
2018,2,US,59.34345472463136,44.5410170166975,50.925620185986
2018,3,US,51.40204703155195,50.0020448720278,51.3499000887713
2018,4,US,54.06158254002899,48.301590594633,51.3011191115688
2018,5,US,46.90832069145143,55.2542531197527,48.599540229475
2018,6,US,44.497756018554384,58.7092885457592,48.2224223084975
2018,7,US,43.16611898380467,59.7034984216858,49.5918806540573
2018,8,US,44.54049822569444,50.9941444695278,48.7065430850094
2018,9,US,46.21363952588739,38.8205455481799,45.0138975884834
2018,10,US,48.95235935296438,41.7322318492964,49.1501006965849
2018,11,US,48.237030699963945,45.0810192438188,47.8023891932594
2018,12,US,43.733889046003426,50.1191760622214,47.0514054022826
2019,1,US,53.67046419135709,49.1027900586767,54.80031396567
2019,2,US,61.768194220436435,48.4212107182351,54.8018654374564
2019,3,US,53.119409177373136,46.6341346430487,52.8627757344798
2019,4,US,56.93629425853092,46.7104632536931,54.4785751133591
2019,5,US,48.07999589851633,53.6810072768872,53.8152679590093
2019,6,US,45.83092786291421,64.3453719534517,57.1244135901273
2019,7,US,51.62307755127354,62.2324027328319,52.3677447435473
2019,8,US,50.08311418750934,58.1899328060781,51.7154098748861
2019,9,US,55.81243177231085,52.0832504781083,50.7945917148856
2019,10,US,54.79613882287326,52.0346633211114,51.40141739702
2019,11,US,50.658192638381976,49.149651590035,49.3466538919055
2019,12,US,49.467212397616954,49.2605741469367,48.3364235567478
2020,1,US,59.15673609072752,64.8575094903009,56.3847411440971
2020,2,US,63.86329790073109,57.1789485216787,56.7782221948502
2020,3,US,59.22062620252607,48.8417392938259,58.9501577729054
2020,4,US,60.33362478214751,41.4356584765189,53.7960459898724
2020,5,US,51.320612043034494,55.8991122379014,55.0128236229421
2020,6,US,51.3425300098199,62.281890575743,58.5546511138948
2020,7,US,56.5545782856321,64.4119585243446,60.8714668704801
2020,8,US,53.12219983493289,55.0352772661056,57.0970500308191
2020,9,US,59.251676052205575,48.1622180077298,56.7261777202564
2020,10,US,55.71486428410039,58.144948248659,53.4167229920692
2020,11,US,49.47848012233797,55.2957635785278,49.372735857701
2020,12,US,52.604042439787406,60.4182438266475,55.0024727380952
2021,1,US,57.51628998785225,57.1981276158798,65.494543345899
2021,2,US,65.23391250465437,57.0099001603085,68.0164089378144
2021,3,US,63.638766968050774,60.0515078197742,62.7570050625515
2021,4,US,62.0375058425284,57.1901593642567,58.0122687177382
2021,5,US,59.000829285878936,61.9078286688688,58.8769278343267
2021,6,US,55.57734472481281,64.4759300431366,58.723047507006
2021,7,US,57.649379252844504,66.4385154023582,55.5378475709677
2021,8,US,58.99113203639774,63.9056310116516,58.1546681900062
2021,9,US,66.40571545396664,52.9951935425598,58.064936723569
2021,10,US,58.96577454118464,53.703170278717,57.2116986094352
2021,11,US,56.46584377948763,57.5208445648773,57.8179049496696
2021,12,US,48.23040593468235,57.3160918399525,51.0456428633576
2022,1,US,,,
2022,2,US,,,
2022,3,US,,,
2022,4,US,,,
2022,5,US,,,
2022,6,US,,,
2022,7,US,,,
2022,8,US,,,
2022,9,US,,,
2022,10,US,,,
2022,11,US,,,
2022,12,US,,,
2023,1,US,,,
2023,2,US,,,
2023,3,US,,,
2023,4,US,,,
2023,5,US,,,
2023,6,US,,,
2023,7,US,,,
2023,8,US,,,
2023,9,US,,,
2023,10,US,,,
2023,11,US,,,
