"Year","Month","estimate","set","rho"
2018,4,40.4216456884575,"current",0
2018,5,56.6229674641514,"current",0
2018,6,59.4112590299783,"current",0
2018,7,63.1599796154694,"current",0
2018,8,45.3814956833034,"current",0
2018,9,58.439484413475,"current",0
2018,10,53.2985444414901,"current",0
2018,11,41.6480869232438,"current",0
2018,12,38.2310223021959,"current",0
2019,1,35.4302714242081,"current",0
2019,2,41.8336370314136,"current",0
2019,3,32.40246655102,"current",0
2019,4,31.0423184751871,"current",0
2019,5,52.6009397225805,"current",0
2019,6,61.8465795486069,"current",0
2019,7,60.992093003752,"current",0
2019,8,60.0715528899129,"current",0
2019,9,79.8498227476817,"current",0
2019,10,69.1907387819407,"current",0
2019,11,55.9129768613263,"current",0
2019,12,50.6720559414642,"current",0
2020,1,50.3265328414257,"current",0
2020,2,52.5157043752676,"current",0
2020,3,37.0326735564156,"current",0
2020,4,39.5096972907365,"current",0
2020,5,40.4278241943364,"current",0
2020,6,51.7698137833899,"current",0
2020,7,52.7174458605522,"current",0
2020,8,51.2077113335318,"current",0
2020,9,83.7973952167067,"current",0
2020,10,82.7552847039976,"current",0
2020,11,67.2904469213164,"current",0
2020,12,62.6127379703066,"current",0
2021,1,54.8138921008331,"current",0
2021,2,67.039343830025,"current",0
2021,3,48.8146990040289,"current",0
2021,4,52.1706082788356,"current",0
2021,5,39.0205837267205,"current",0
2021,6,58.1060066149105,"current",0
2021,7,53.2423706107099,"current",0
2021,8,60.3718801260275,"current",0
2021,9,74.570635819861,"current",0
2021,10,70.0826982311148,"current",0
2021,11,71.3973600076741,"current",0
2021,12,60.0828219616,"current",0
