Year,Month,Capitalization,Investment_management,Patent_office,Tax_credit,Cost,Technology,Entrepreneurship,Income_statement,Salary,Budget,Health,annual_gerd,Tax_report
2013,7,40,26,9,4,52,29,14,36,55,48,0,468.27722417165,9
2013,8,43,25,9,4,53,30,17,34,52,44,0,468.27722417165,9
2013,9,59,26,9,5,51,35,25,64,55,50,0,468.27722417165,8
2013,10,67,29,10,6,51,37,24,63,53,59,0,468.27722417165,10
2013,11,58,25,9,6,53,35,22,56,52,49,0,468.27722417165,8
2013,12,53,23,7,8,48,31,16,40,46,50,0,468.27722417165,12
2014,1,61,30,9,14,52,35,22,47,53,50,0,481.7754826220669,44
2014,2,61,28,9,15,59,36,26,68,58,53,0,481.7754826220669,71
2014,3,58,27,9,10,56,37,22,51,52,51,0,481.7754826220669,41
2014,4,61,27,9,8,60,38,23,55,57,52,0,481.7754826220669,49
2014,5,54,26,8,4,56,33,19,44,55,51,0,481.7754826220669,11
2014,6,44,26,13,4,55,29,15,41,55,49,0,481.7754826220669,10
2014,7,43,28,9,5,59,33,16,38,60,52,0,481.7754826220669,10
2014,8,46,26,9,4,56,30,21,34,56,48,0,481.7754826220669,8
2014,9,69,26,10,4,58,38,29,73,54,48,0,481.7754826220669,9
2014,10,70,28,10,5,55,38,27,67,52,49,0,481.7754826220669,11
2014,11,60,23,8,6,51,34,23,50,49,50,0,481.7754826220669,8
2014,12,53,22,7,7,48,30,18,42,50,51,0,481.7754826220669,12
2015,1,58,25,8,13,54,35,25,50,60,54,0,507.401,42
2015,2,60,25,8,13,57,34,22,65,53,58,0,507.401,60
2015,3,62,26,8,10,62,34,25,51,60,56,0,507.401,39
2015,4,65,27,8,8,63,36,26,62,63,56,0,507.401,48
2015,5,55,24,7,4,62,33,21,47,62,54,0,507.401,11
2015,6,50,26,8,5,59,32,17,45,63,57,0,507.401,11
2015,7,44,25,8,5,57,27,16,36,63,55,0,507.401,10
2015,8,48,25,7,4,60,34,22,41,70,52,0,507.401,9
2015,9,69,24,7,4,55,37,32,72,68,56,0,507.401,9
2015,10,74,27,8,5,59,37,27,68,66,57,0,507.401,10
2015,11,66,23,6,5,55,36,28,54,62,57,0,507.401,8
2015,12,61,23,8,7,53,33,21,44,59,54,0,507.401,12
2016,1,58,24,6,12,60,31,26,47,68,56,0,528.1717009030571,47
2016,2,65,26,6,12,61,33,25,69,65,59,0,528.1717009030571,63
2016,3,61,26,6,8,64,32,22,53,65,59,0,528.1717009030571,40
2016,4,61,24,5,8,62,33,23,53,67,56,0,528.1717009030571,41
2016,5,57,23,5,4,63,31,20,46,67,54,0,528.1717009030571,13
2016,6,42,25,5,4,63,28,17,39,68,50,0,528.1717009030571,10
2016,7,37,21,5,4,64,24,13,33,63,44,0,528.1717009030571,9
2016,8,46,22,5,4,60,29,17,40,64,44,0,528.1717009030571,10
2016,9,66,23,5,4,58,34,26,67,67,49,0,528.1717009030571,9
2016,10,67,22,4,5,60,30,23,57,67,47,0,528.1717009030571,10
2016,11,70,16,1,5,63,28,80,51,86,5,0,528.1717009030571,2
2016,12,57,14,1,6,60,28,71,41,87,0,0,528.1717009030571,2
2017,1,67,16,1,13,73,34,93,52,94,0,0,549.63096952664,8
2017,2,73,15,2,14,72,45,98,66,82,0,0,549.63096952664,10
2017,3,71,15,2,11,76,44,91,58,87,0,0,549.63096952664,9
2017,4,73,16,2,9,92,44,100,62,87,0,0,549.63096952664,4
2017,5,63,16,2,4,72,41,84,43,100,0,0,549.63096952664,2
2017,6,47,17,3,4,71,37,77,43,90,0,0,549.63096952664,2
2017,7,38,15,2,4,70,34,66,35,85,0,0,549.63096952664,2
2017,8,56,17,3,4,73,41,79,39,86,0,0,549.63096952664,2
2017,9,63,17,2,5,74,45,94,60,92,0,0,549.63096952664,2
2017,10,79,20,3,6,75,50,96,66,87,0,0,549.63096952664,3
2017,11,71,16,2,7,70,43,80,49,66,0,0,549.63096952664,2
2017,12,57,14,2,13,61,36,64,39,59,0,0,549.63096952664,3
2018,1,63,17,2,15,70,39,86,49,77,0,0,586.427345752008,10
2018,2,70,17,3,17,74,36,90,70,80,0,0,586.427345752008,14
2018,3,66,17,5,10,77,29,76,50,71,0,0,586.427345752008,15
2018,4,66,18,5,9,76,32,81,54,76,0,0,586.427345752008,15
2018,5,38,17,5,5,71,29,76,43,77,0,0,586.427345752008,4
2018,6,30,17,5,5,70,25,64,39,76,0,0,586.427345752008,4
2018,7,27,16,4,5,71,26,60,36,83,0,0,586.427345752008,2
2018,8,53,15,5,5,70,26,72,36,75,0,0,586.427345752008,2
2018,9,76,16,5,5,60,24,90,70,76,0,0,586.427345752008,1
2018,10,79,15,4,6,69,27,88,65,73,0,0,586.427345752008,0
2018,11,75,15,4,6,74,29,81,49,71,0,0,586.427345752008,2
2018,12,61,15,4,7,73,26,61,36,61,0,0,586.427345752008,3
2019,1,69,19,5,15,83,30,89,45,82,0,0,631.845452979094,16
2019,2,75,20,4,19,85,30,95,69,80,0,0,631.845452979094,25
2019,3,73,19,5,10,80,28,84,53,72,0,0,631.845452979094,22
2019,4,77,20,5,10,83,29,84,53,77,0,0,631.845452979094,23
2019,5,51,18,5,4,82,30,69,42,73,0,0,631.845452979094,5
2019,6,33,21,5,4,90,29,62,39,77,1,0,631.845452979094,5
2019,7,28,22,4,4,81,25,55,35,73,44,0,631.845452979094,6
2019,8,33,21,4,4,78,27,70,39,74,47,0,631.845452979094,5
2019,9,49,19,5,4,78,30,92,79,75,51,0,631.845452979094,5
2019,10,52,21,4,5,79,29,81,69,70,49,0,631.845452979094,7
2019,11,55,19,4,5,75,28,72,52,67,52,0,631.845452979094,6
2019,12,56,18,4,7,73,24,62,43,63,53,0,631.845452979094,4
2020,1,55,23,5,14,84,27,84,61,75,57,0,671.963268047983,15
2020,2,72,23,4,16,80,27,80,80,73,56,0,671.963268047983,20
2020,3,66,19,4,9,60,23,64,57,51,51,0,671.963268047983,16
2020,4,85,18,4,8,59,25,66,70,58,55,0,671.963268047983,16
2020,5,62,18,4,5,70,22,59,48,53,53,0,671.963268047983,8
2020,6,38,19,3,5,68,22,60,47,59,60,0,671.963268047983,10
2020,7,48,19,4,7,77,22,28,50,66,55,0,671.963268047983,15
2020,8,63,18,4,5,71,25,25,50,59,45,0,671.963268047983,6
2020,9,75,19,3,5,71,33,33,100,64,47,0,671.963268047983,7
2020,10,48,17,3,5,69,26,26,79,66,46,0,671.963268047983,7
2020,11,39,15,3,5,57,23,22,54,57,45,0,671.963268047983,5
2020,12,35,15,3,7,63,22,17,48,56,46,0,671.963268047983,8
2021,1,37,14,3,14,67,24,22,51,64,46,0,709.712900312341,21
2021,2,44,17,3,23,71,26,23,88,66,45,0,709.712900312341,37
2021,3,40,17,3,36,73,26,22,68,65,43,0,709.712900312341,42
2021,4,37,20,3,22,68,27,21,61,57,51,0,709.712900312341,31
2021,5,36,17,3,29,74,25,21,47,63,42,0,709.712900312341,36
2021,6,27,19,3,45,72,25,19,41,74,41,0,709.712900312341,18
2021,7,34,18,3,100,72,21,18,40,66,40,0,709.712900312341,16
2021,8,35,20,3,54,74,24,22,48,67,42,0,709.712900312341,14
2021,9,59,17,4,39,72,28,29,83,64,46,0,709.712900312341,13
2021,10,56,16,4,31,71,26,24,72,67,44,0,709.712900312341,12
2021,11,44,19,3,32,73,29,24,63,69,45,0,709.712900312341,10
2021,12,33,16,2,34,64,25,18,47,63,40,0,709.712900312341,14
