,mid,type
Funding of science,/m/04vp_m,Topic
Leverhulme Trust,/m/047p4x,Educational establishment
small,/g/11l864w__t,Topic
Science,/m/06mq7,School category
Doctor of Philosophy,/m/04zx3q1,Degree
Fellow,/m/021q0l,Board member title
Medicine,/m/04sh3,Topic
Economic and Social Research Council,/m/026mqtp,Government agency
Academy,/m/0134hp,School category
Research proposal,/g/11bzx4chkk,Topic
Cancer Research UK,/m/02wx95,Charity
Award,/g/1219y4f5,Topic
Cancer,/m/0qcr0,Disease
Medical Research Council,/g/11bc6dtxb0,Topic
European Research Council,/m/06_v3b,Government agency
Student,/m/014cnc,Topic
Engineering & Physical Sciences Research Council,/m/07qq9s,Government department
Royal Society,/m/02hcxm,Learned society
Collaboration,/m/01s560,Topic
Pharmaceutical drug,/m/018l35,Topic
Health,/m/0kt51,Topic
Fashion,/m/032tl,Topic
Construction,/g/121mknrx,Topic
Report,/m/0chln1,Topic
Partnership,/m/01ghqd,Organization legal structure
European Union,/m/0_6t_z8,Topic
Education,/m/02jfc,Topic
Research Councils UK,/m/026mc48,Government agency
Cancer research,/m/04tll8,Topic
Charitable organization,/m/04dp32,Organization type
National Institute for Health and Care Research,/m/09v9ms2,Topic
Postgraduate education,/m/0143fl,Degree
Medical research,/m/06ywtl,Topic
Wellcome Trust,/m/039fvb,Topic
Boiler,/m/017ssg,Topic
Home,/m/01l0mw,Topic
Building insulation,/m/0gw5n6,Topic
Energy,/m/02mm_,Topic
Government of the United Kingdom,/m/09g9s5g,Government
Wales,/m/0j5g9,UK constituent country
Heating system,/m/0bkrf9,Topic
Window,/m/0d4v4,Topic
Scottish Government,/m/01nq43,Government office
Employment,/g/11gbfbpzht,Topic
Welsh Government,/m/01wtz3,Government
Solar energy,/m/06xbd,Topic
Self-employment,/m/02w3sc,Job title
Central heating,/m/03chr7,Topic
Home improvement,/m/03n2_q,Topic
Welsh,/m/083tk,Spoken language
GOV.UK,/m/0n46l2_,Website
Loft,/m/04vmpm,Topic
Job,/m/04115t2,Topic
National Health Service,/m/01fw9h,Government department
Engineer,/m/09j9h,Degree
Career,/m/03ml62y,Topic
R&D management,/m/0czcqjd,Topic
Chemistry,/m/01lj9,Field of study
Graduate school,/m/01yslh,Degree
Scientist,/m/06q2q,Career
GSK plc,/m/01bbm7,Pharmaceutical industry company
Research and Development Tax Credit,/m/0vpvyg4,Topic
Calculation,/m/01jpbw,Topic
Small and medium-sized enterprises,/m/0272kb,Organization type
Accounting,/m/0_jm,Professional field
Corporate tax,/m/03p7hr,Topic
Rate,/m/01x1q9,Mathematics
Corporation,/m/023k2,Organization type
Budget,/g/120jxn0b,Topic
Income,/m/03wj0,Topic
Pay-as-you-earn tax,/m/01_21x,Topic
Incentive,/m/026kxv,Topic
Tax incentive,/m/03nm865,Topic
Strategic management,/m/01jqpl,Field of study
Innovate UK,/m/0120ym42,Government agency
Marketing strategy,/m/01wg0g,Topic
Organization,/m/0qb7t,Topic
Innovation management,/m/051yrpj,Topic
Consultant,/m/02n9jv,Career
Technological innovation,/g/121zpl2_,Topic
Plan,/m/018jrr,Topic
Brand,/m/01cd9,Topic
Industrial policy,/m/0172sd,Topic
Academic journal,/m/01vz_k,Topic
Entrepreneurship,/m/02nwq,Topic
Master of Science,/m/03bwzr4,Degree
Change management,/m/05qb9n6,Topic
System,/m/0bj6r,Topic
Project management,/m/05_p2,Topic
Knowledge,/m/01k8wb,Topic
Service,/m/018tkd,Topic
Leadership,/m/025rt2s,Topic
Creativity,/m/0120fn,Discipline
Egg incubation,/m/02lbk6,Topic
Business incubator,/m/0581_y,Organization type
Incubator,/m/097m1t,Culture
Startup accelerator,/m/0gmc207,Topic
Park,/m/0166ls,Topic
Wavertree Technology Park,/m/0803d4,"Transit station in Liverpool, England"
Science park,/m/02t1bm,Topic
College,/m/02p0qmm,School category
Warwick,/m/01cfzk,Town in England
Liverpool,/m/04lh6,City in England
Cody Technology Park,/g/1hc6sk_21,"Business park in Farnborough, England"
Selly Park,/m/04ygwp6,Topic
Technology College,/m/0260bmg,School category
Dundee,/m/02fvv,City in Scotland
Lodge Park Academy,/m/0by1qvw,"Secondary school in Corby, England"
Coventry,/m/0c5_3,City in England
Stafford,/m/01r7ct,Town in England
Business park,/m/05wdr5,Topic
Wavertree,/m/03ym0b,Topic
Secondary school,/m/025tjcb,School category
Limited company,/m/02mxx4,Company type
Parking lot,/m/02jxn5,Topic
Innsworth,/m/074fnx,Village in England
Time Technology Park,/g/1tgz03x8,Corporate campus in England
Computers and information technology,/m/03ytc,Topic
Patent application,/m/0c7ztg,Topic
Trademark,/m/07d0f,Topic
Patent office,/m/04kc_d,Topic
Office,/g/122sgqnb,Building function
Copyright,/m/01m5t,Copyright license
Design patent,/m/05z0vs,US patent type
Intellectual property,/m/03t0y,Topic
Patent attorney,/m/037ngc,Patent attorney
Hong Kong,/m/03h64,Special administrative regions of China
USPTO,/g/11b827txyx,Topic
Law,/m/04gb7,Topic
Fee,/m/03fk6m,Topic
Lawyer,/m/04gc2,Profession
Property,/m/05wrt,Topic
European Patent Office,/m/03x_crc,Patent office
Intellectual,/m/01h2yy,Topic
License,/m/0b25v,Topic
Chinese,/m/01r2l,Spoken language
Domain name,/m/09y1k,Application programming interface
Trainee,/m/0j284_j,Topic
Biology,/m/01540,Field of study
patent law,/g/121rctyz,Topic
Life,/m/04nr2,Topic
Trademark attorney,/g/122c632c,Topic
Bachelor's degree,/m/019v9k,Degree
Solicitor,/m/0mch7,Barrister
Marks & Clerk,/m/06zqh68,Offices of lawyers company
Biotechnology,/m/01ftz,Field of study
Tax advisor,/m/08t3_4,Topic
Accounting period,/m/0gfj9sk,Topic
Generally Accepted Accounting Practice,/m/0l_6f,UK
International Financial Reporting Standards,/m/0lzs_,Topic
FRS 102: The Financial Reporting Standard Applicable in the UK and Republic of Ireland,/g/11c312gh83,Book
Account,/m/0414vq,Bookkeeping
Generally Accepted Accounting Principles,/m/018z79,United States
Double-entry bookkeeping,/m/0psww,Topic
Country,/m/01lff,Topic
United States,/m/09c7w0,Country in North America
Customer,/m/01j0mk,Topic
Idea,/m/015hcf,Topic
Government of Canada,/m/02wz7x,Government
Bank,/m/017ql,Building function
Memorandum,/m/041pbb,Topic
Rate of return,/m/09ckfv,Topic
Return on investment,/m/0h3p28z,Topic
Natural Sciences and Engineering Research Council of Canada,/m/02v3zn,Federal agency
Canadian Institutes of Health Research,/m/0729ww,Federal agency
Social Sciences and Humanities Research Council,/m/04h6lk,Federal agency
University of Toronto,/m/07wjk,"Public university in Toronto, Ontario"
The University of British Columbia,/m/017cy9,"University in University Endowment Lands, British Columbia"
Scholarship,/m/018m77,Topic
Writing,/m/081rb,Writing system
MacEwan University,/m/0fy8nm,"Public university in Edmonton, Alberta"
Institute,/m/01q2mr,School category
Government agency,/m/02gp31,Organization type
Government of Ontario,/m/02p6t1d,Corporation
Renovation,/m/06b49c,Topic
Disability,/m/0fl5x,Topic
Nonprofit organization,/m/0259tnd,Organization type
Rebate,/m/07_wvg,Marketing
Housing,/m/04dn__2,Topic
Federal government of the United States,/m/01bqks,Government
Training,/m/014jg3,School category
Food,/m/02wbm,Food
Chemist,/m/01pxg,Career
Technician,/m/049btd,Career
R&D,/g/11b7lbyry0,"Asian restaurant in Toronto, Ontario"
Mechanical Engineering,/m/04x_3,Field of study
Indeed,/m/09ylwk,Website
Vice President,/m/0dq3c,Job title
Scientific Research and Experimental Development Tax Credit Program,/m/0gr6lt,Topic
United Kingdom,/m/07ssc,Country in Europe
Internal Revenue Service,/m/03z19,Statutory body
Tax deduction,/m/01rqfh,Topic
Form,/m/046zzg,Document
Canada Customs and Revenue Agency,/m/02p1p8x,Topic
Social,/m/01qfr1,Topic
Social innovation,/m/09btjn,Topic
Economics,/m/02j62,Field of study
Master's Degree,/m/016t_3,Degree
Master of Management,/m/0cqjr,Degree
Information,/m/03y39,Topic
Course,/m/07hs4p,Education
Vancouver Island Technology Park,/g/1v6p8k46,Topic
Museum,/m/09cmq,Topic
Canada Science and Technology Museum,/m/042wft,"Museum in Ottawa, Ontario"
Technology museum,/m/03l9d_3,Kind of museum
Sherwood Park,/m/01wj8n,"Hamlet in Alberta, Canada"
Waterloo,/m/0jpkg,"City in Ontario, Canada"
Science museum,/m/0j58y,Type of museum
National park,/m/05gz5,IUCN protected area categories
South Park,/m/06y_n,American sitcom
Water park,/m/01wt5r,Topic
Parking,/m/01jp76,Topic
Name,/m/015vq3,Topic
Rights,/m/0dl2z,Topic
India,/m/03rk0,Country in South Asia
Canadian Intellectual Property Office,/m/05056j,Government agency
Trade name,/m/01hj9f,Topic
Trade,/m/07br0,Topic
Japan,/m/03_3d,Country in East Asia
Power of attorney,/m/0164wn,Topic
Law firm,/m/03mjyc,Topic
Law school,/m/0921h6,School category
California,/m/01n7q,US state
San Francisco,/m/0d6lp,City in California
Demand,/m/05fcbw8,Topic
Scrum,/m/0ck_p8,Software development
Business development,/m/0c6zkt,Field of study
Product Manager,/m/098f56,Job title
Manager,/m/0nblvpz,Profession
Manufacturing,/m/09t4t,Topic
Drug,/m/02kjb_,Topic
Stock,/m/077mq,Topic
good,/g/11my1t41tp,Topic
ETH Zürich,/m/01dyk8,"Public university in Zürich, Switzerland"
Curriculum vitae,/m/07kgs9_,Topic
Research institute,/m/087krf,Topic
European Research Council Starting Grant,/g/11frfdm5qg,Topic
Ethereum,/m/0108bn2x,Software
Foundation,/m/0339xs,Nonprofit
Novartis,/m/0150cn,Pharmaceutical corporation
Fellowship,/m/02rn_7s,Medicine
Marie Curie,/m/053_d,Polish-French physicist
Swiss National Science Foundation,/m/04xmxm,Topic
Postdoctoral researcher,/m/011bgs4m,Job title
Swiss Federal Institute of Technology Lausanne,/m/0jg7r,"Research university in Lausanne, Switzerland"
University of Zurich,/m/01tpvt,"Public university in Zürich, Switzerland"
NIH,/g/11b7ckf1qc,Topic
Disruptive innovation,/m/0cvr_,Topic
Value,/m/0bhr4z,Economics
Blue Ocean Strategy,/m/025t066,Book by Renée Mauborgne and W. Chan Kim
Action plan,/m/0qsbqp3,Topic
Sustainability,/m/0hkst,Topic
Open innovation,/m/08pl0z,Topic
Technology management,/m/02qjhg0,Discipline
University of St. Gallen,/m/0388r7,"University in St. Gallen, Switzerland"
Qatar,/m/0697s,Country in the Middle East
Patent Agent,/g/121_c49d,Profession
Attorney at law,/m/09ghdsz,Topic
Roche Holding AG,/m/02nyk6,Pharmaceutical company
