,mid,type
Portfolio,/m/051fm6,Finance
Grant-in-aid,/m/0795dm,Topic
Grants-in-Aid for Scientific Research,/g/128dgck8x,Topic
Japan Society for the Promotion of Science,/m/04g2rw5,Topic
"Ministry of Health, Labour and Welfare of Japan",/m/04t31s,Government ministry
Researcher,/m/03bx017,Profession
English Language,/m/02h40lc,Spoken language
Social,/m/01qfr1,Topic
Thesis,/m/01rt50,Literary genre
School,/m/06zdj,Topic
Subsidy,/m/012qhn,Topic
Australia,/m/0chghy,Country in Oceania
Singapore,/m/06t2t,Country in Asia
Sustainability,/m/0hkst,Topic
Blue Ocean Strategy,/m/025t066,Book by Renée Mauborgne and W. Chan Kim
PDF,/m/0600q,File format
Assessment,/m/0gw5h,Topic
Impact factor,/m/040dhg,Topic
Open innovation,/m/08pl0z,Topic
The University of Tokyo,/m/017lvd,"University in the special wards of Tokyo, Japan"
Wireless,/m/019dhf,Topic
Malaysia,/m/09pmkv,Country in Asia
Limited company,/m/02mxx4,Company type
Massachusetts,/m/05k7sb,US state
Guangdong Province,/m/0h9vh,Chinese province
Industrial park,/m/02k7bf,Topic
Philippines,/m/05v8c,Country in Asia
Taiwan,/m/06f32,Topic
Semiconductor,/m/08mh3kd,Topic
Meaning,/g/1219h60v,Topic
Benrishi,/m/084vxk,Topic
Mandate,/g/11bc5vw_48,Topic
Eurostat,/m/0328nz,Government agency
Manager,/m/0nblvpz,Profession
Definition,/m/026yf,Topic
scrum sprint,/g/11bc5m_5dj,Topic
Europe,/m/02j9z,Continent
StartUp,/g/11cn8zz_m8,TV series
Series A round,/m/02x4nvx,Investment round
Artificial intelligence,/m/0mkz,Topic
Union Investment,/m/0bwm133,Real estate investment management company
Investment management,/m/05b6l8,Topic
Share,/m/03jzl9,Finance
DWS Group,/g/123385cj,Asset management company
Klaus Kaldemorgen,/g/120pnc89,Investor
Family,/m/09dhj,Topic
Analyst,/g/122h5gw1,Career
German Research Foundation,/m/03sp0q,Topic
European Research Council Starting Grant,/g/11frfdm5qg,Topic
German Academic Exchange Service,/m/02kg_z,Student society
Travel,/m/014dsx,Topic
Professor,/m/016fly,Academic rank
Google Scholar,/m/057mg4,Web site
Building insulation,/m/0gw5n6,Topic
College,/m/02p0qmm,School category
International Financial Reporting Standards,/m/0lzs_,Topic
Insurance,/m/03xks,Topic
Government of the United Kingdom,/m/09g9s5g,Government
Employment,/g/11gbfbpzht,Topic
