Year,Quarter,quarter_date,NN,Ridge_signed,Ridge_positive,Mosley,Sax,quarter_label
2011,2,2011-04-01,122.06226778130787,114.51008669748322,115.87725781112584,117.5825537771089,115.22915787175461,2011Q2
2011,3,2011-07-01,128.7843595383347,136.54442384568674,110.41512309762322,111.037950103164,118.36179919730739,2011Q3
2011,4,2011-10-01,96.13080786971969,121.52745696983993,106.64574307819628,105.48230421421209,106.9185968205867,2011Q4
2012,1,2012-01-01,102.37600671205904,92.99038265590812,123.34481970483127,120.8414365427479,114.1781341426899,2012Q1
2012,2,2012-04-01,120.36362984222157,117.05545162455076,115.26293482854268,118.7953771765898,121.6159108453849,2012Q2
2012,3,2012-07-01,123.17657857027098,125.22240270074167,109.38724214776494,111.83713511492451,116.071373415346,2012Q3
2012,4,2012-10-01,108.90419155434645,119.55216969769751,106.82540999775918,103.34645784463581,102.9549882754773,2012Q4
2013,1,2013-01-01,111.49819232560087,89.79440861830847,123.98365851159878,117.60281641378131,116.0651204089573,2013Q1
2013,2,2013-04-01,113.02294086594448,114.93459869107514,115.64333650919875,119.9095731943094,122.8793814750947,2013Q2
2013,3,2013-07-01,122.608152551879,128.76477891729098,110.65623412534467,116.876916358999,123.06176659624879,2013Q3
2013,4,2013-10-01,121.1479384282257,134.7834379449754,117.99399502550784,113.8879182045603,106.2709556913494,2013Q4
2014,1,2014-01-01,118.21351458044117,98.72937034068487,129.42422211664393,125.0390825301582,116.6902372405562,2014Q1
2014,2,2014-04-01,130.89510615279153,127.39603051857968,120.16196418603244,121.9166906711213,127.671990058146,2014Q2
2014,3,2014-07-01,123.3454889191814,129.604398645282,116.98502011707926,123.33707706909121,128.366425169051,2014Q3
2014,4,2014-10-01,109.32137296965283,126.04568311752033,115.20427620231132,111.4826323516964,109.0468301543137,2014Q4
2015,1,2015-01-01,116.17719934552528,97.761749853194,131.41296265137348,125.712452146634,126.2209114764496,2015Q1
2015,2,2015-04-01,133.4349356220892,128.88682943922933,127.50154546609946,132.75098052350188,135.2921168924376,2015Q2
2015,3,2015-07-01,135.3733402975566,135.23598288325366,122.3652851107671,128.5533855515188,132.0931656822139,2015Q3
2015,4,2015-10-01,122.4155247348289,145.51643782432296,126.12120677176,120.3841817783453,113.79480594889901,2015Q4
2016,1,2016-01-01,125.7930827390726,93.26360335159225,142.03487613104554,138.0630224562127,127.7540035619445,2016Q1
2016,2,2016-04-01,133.60389694485767,123.96136934822134,132.98897067415004,139.4595801741851,137.2703923847404,2016Q2
2016,3,2016-07-01,134.67777288996967,130.42158542968184,124.59748698154674,133.5500926566998,138.8871921514901,2016Q3
2016,4,2016-10-01,134.0969483291571,180.5251427735616,128.5503671163148,117.0990056159594,124.260112804882,2016Q4
2017,1,2017-01-01,111.46282918162301,115.65365049018786,140.74763309399293,129.56063383929632,131.9440748022476,2017Q1
2017,2,2017-04-01,160.8533578815343,162.6413659950344,141.47464113535673,147.1326423033096,148.3798931608907,2017Q2
2017,3,2017-07-01,135.5174536185479,140.13109563547994,128.42538171677336,135.274708252228,147.0194666249639,2017Q3
2017,4,2017-10-01,141.79732884493484,131.20485740593773,138.983313580517,137.6629851318061,122.287534938538,2017Q4
2018,1,2018-01-01,136.76392456710954,113.57602928986299,153.78431766555988,150.9880474827898,137.7115978971328,2018Q1
2018,2,2018-04-01,140.24852692564852,130.44946740996235,143.61866774792088,148.1230816495413,162.2651322601449,2018Q2
2018,3,2018-07-01,135.58056788781312,133.05064581621141,134.04549958318967,143.3123213275501,149.5181884393935,2018Q3
2018,4,2018-10-01,173.8343263714368,209.35120323597124,154.97886075533756,144.0038952921269,136.9324271553366,2018Q4
2019,1,2019-01-01,135.70422289082333,149.6763983454024,168.78335695490512,162.46495513760618,144.1581354199605,2019Q1
2019,2,2019-04-01,141.10874922067882,164.24231175165272,156.30167760331216,165.4182566624957,164.736842484032,2019Q2
2019,3,2019-07-01,176.55358815068402,142.61006493789068,150.5318530593054,154.877746333319,172.5055860170183,2019Q3
2019,4,2019-10-01,178.47889271690786,175.31667794414818,156.2285653615714,149.0844948456733,150.4448890580831,2019Q4
2020,1,2020-01-01,160.89039654482383,164.92563182230725,185.45557730392042,172.1131211118527,170.8781973058055,2020Q1
2020,2,2020-04-01,176.08202527539495,175.53289976232585,168.8242786675771,167.36352072670928,159.6166612901633,2020Q2
2020,3,2020-07-01,184.2750902149056,172.0371641182768,167.4581898639495,174.69469462155558,167.60945379818,2020Q3
2020,4,2020-10-01,150.7157560128586,159.46757234507308,150.22522221253598,157.7919315878654,173.8589556538343,2020Q4
2021,1,2021-01-01,173.49612801253892,146.33732287152918,182.56984035000707,196.2679573462649,174.2595355959625,2021Q1
2021,2,2021-04-01,174.31448666622697,140.872512201938,171.4812822853318,175.61224405907092,183.5739180762621,2021Q2
2021,3,2021-07-01,191.73706439268634,187.08169929131725,179.93489162508308,171.7574524845429,183.3393399565696,2021Q3
2021,4,2021-10-01,170.16522124088885,235.42136594755664,175.72688605191914,166.07524642246238,168.5401066835468,2021Q4
