,date,Country,Businesses_R&D expenditure,Businesses_product development,Consulting Firms_innovation management,Consulting Firms_innovation strategy,Government agencies_government grants,Government agencies_research funding,Innovation Hubs_startup incubation,Innovation Hubs_technology park,Patent Attorneys_patent attorney,Patent Attorneys_patent registration,R&D Employees_R&D jobs,Research Institutions_collaboration with industry,Research Institutions_research grant,Tax Authorities_R&D tax credit,VCs_VC investment,VCs_startup funding,Year,Month,Businesses_R&D expenditure_mean_YTD,Businesses_product development_mean_YTD,Consulting Firms_innovation management_mean_YTD,Consulting Firms_innovation strategy_mean_YTD,Government agencies_government grants_mean_YTD,Government agencies_research funding_mean_YTD,Innovation Hubs_startup incubation_mean_YTD,Innovation Hubs_technology park_mean_YTD,Patent Attorneys_patent attorney_mean_YTD,Patent Attorneys_patent registration_mean_YTD,R&D Employees_R&D jobs_mean_YTD,Research Institutions_collaboration with industry_mean_YTD,Research Institutions_research grant_mean_YTD,Tax Authorities_R&D tax credit_mean_YTD,VCs_VC investment_mean_YTD,VCs_startup funding_mean_YTD
29,2004-04-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,2004,4,,0.0,0.0,52.0,,0.0,,0.0,33.333333333333336,,,,33.333333333333336,,,0.0
26,2004-04-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2004,4,,0.0,0.0,0.0,,,,,,,,,,,,
25,2004-04-01,CH,,0.0,,93.0,,,,,0.0,,,,0.0,,,,2004,4,,24.333333333333332,,0.0,,,,,0.0,,,,0.0,,,
24,2004-04-01,CA,,0.0,,,65.0,0.0,,30.0,0.0,0.0,75.0,,,0.0,0.0,0.0,2004,4,,0.0,,,53.666666666666664,0.0,,21.0,0.0,49.666666666666664,33.333333333333336,,,0.0,0.0,53.666666666666664
27,2004-04-01,DE,,0.0,0.0,0.0,0.0,0.0,,0.0,41.0,,0.0,,0.0,,0.0,75.0,2004,4,,0.0,47.0,21.666666666666668,0.0,33.333333333333336,,0.0,0.0,,0.0,,43.0,,0.0,0.0
32,2004-05-01,CA,,0.0,,,58.0,0.0,,52.0,0.0,36.0,63.0,,,0.0,0.0,0.0,2004,5,,0.0,,,56.5,0.0,,23.25,0.0,37.25,43.75,,,0.0,0.0,40.25
33,2004-05-01,CH,,0.0,,0.0,,,,,0.0,,,,0.0,,,,2004,5,,18.25,,23.25,,,,,0.0,,,,0.0,,,
34,2004-05-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2004,5,,0.0,0.0,0.0,,,,,,,,,,,,
35,2004-05-01,DE,,0.0,38.0,0.0,0.0,0.0,,0.0,100.0,,0.0,,0.0,,0.0,95.0,2004,5,,0.0,35.25,16.25,0.0,25.0,,0.0,10.25,,0.0,,32.25,,0.0,18.75
36,2004-05-01,GB,0.0,74.0,0.0,0.0,56.0,0.0,,70.0,63.0,0.0,,,67.0,0.0,0.0,0.0,2004,5,0.0,74.25,0.0,0.0,67.0,0.0,,66.25,42.5,0.0,,,82.5,0.0,0.0,0.0
37,2004-05-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,2004,5,,0.0,0.0,39.0,,0.0,,0.0,25.0,,,,25.0,,,0.0
38,2004-05-01,KR,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,45.0,0.0,2004,5,,0.0,,0.0,,25.0,,0.0,,0.0,,,18.25,0.0,9.25,0.0
39,2004-05-01,US,0.0,70.0,0.0,0.0,40.0,63.0,0.0,90.0,77.0,100.0,43.0,0.0,67.0,0.0,0.0,0.0,2004,5,0.0,91.75,0.0,21.75,51.25,74.5,0.0,78.75,81.5,38.75,13.25,0.0,89.25,52.25,0.0,0.0
47,2004-06-01,US,0.0,80.0,0.0,30.0,52.0,65.0,0.0,88.0,70.0,53.0,47.0,0.0,100.0,28.0,0.0,0.0,2004,6,0.0,87.4,0.0,17.4,49.0,72.2,0.0,81.0,80.6,51.0,19.2,0.0,84.8,41.8,0.0,0.0
46,2004-06-01,KR,,0.0,,29.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2004,6,,0.0,,0.0,,20.0,,0.0,,0.0,,,14.6,0.0,16.4,0.0
45,2004-06-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,34.0,,,0.0,2004,6,,0.0,0.0,31.2,,0.0,,0.0,20.0,,,,20.0,,,0.0
44,2004-06-01,GB,0.0,32.0,0.0,0.0,67.0,0.0,,79.0,47.0,100.0,,,0.0,0.0,0.0,0.0,2004,6,0.0,74.2,0.0,0.0,64.8,0.0,,67.0,46.6,0.0,,,79.4,0.0,0.0,0.0
43,2004-06-01,DE,,0.0,47.0,0.0,0.0,72.0,,0.0,31.0,,0.0,,30.0,,0.0,0.0,2004,6,,0.0,35.8,13.0,0.0,20.0,,0.0,28.2,,0.0,,25.8,,0.0,34.0
41,2004-06-01,CH,,66.0,,0.0,,,,,60.0,,,,0.0,,,,2004,6,,14.6,,18.6,,,,,0.0,,,,0.0,,,
40,2004-06-01,CA,,0.0,,,83.0,0.0,,34.0,77.0,0.0,0.0,,,0.0,0.0,0.0,2004,6,,0.0,,,56.8,0.0,,29.0,0.0,37.0,47.6,,,0.0,0.0,32.2
42,2004-06-01,CN,,0.0,7.0,0.0,,,,,,,,,,,,,2004,6,,0.0,0.0,0.0,,,,,,,,,,,,
48,2004-07-01,CA,,0.0,,,56.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2004,7,,0.0,,,61.166666666666664,0.0,,29.833333333333332,12.833333333333334,30.833333333333332,39.666666666666664,,,0.0,0.0,26.833333333333332
49,2004-07-01,CH,,100.0,,100.0,,,,,0.0,,,,0.0,,,,2004,7,,23.166666666666668,,15.5,,,,,10.0,,,,0.0,,,
50,2004-07-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2004,7,,0.0,1.1666666666666667,0.0,,,,,,,,,,,,
51,2004-07-01,DE,,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,2004,7,,0.0,37.666666666666664,10.833333333333334,0.0,28.666666666666668,,0.0,28.666666666666668,,0.0,,26.5,,0.0,28.333333333333332
52,2004-07-01,GB,0.0,19.0,0.0,0.0,31.0,0.0,,46.0,100.0,0.0,,,0.0,0.0,0.0,0.0,2004,7,0.0,67.16666666666667,0.0,0.0,65.16666666666667,0.0,,69.0,46.666666666666664,16.666666666666668,,,66.16666666666667,0.0,0.0,0.0
53,2004-07-01,JP,,0.0,0.0,51.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,2004,7,,0.0,0.0,26.0,,0.0,,0.0,16.666666666666668,,,,22.333333333333332,,,0.0
54,2004-07-01,KR,,0.0,,0.0,,0.0,,0.0,,100.0,,,0.0,0.0,0.0,0.0,2004,7,,0.0,,4.833333333333333,,16.666666666666668,,0.0,,0.0,,,12.166666666666666,0.0,13.666666666666666,0.0
55,2004-07-01,US,0.0,84.0,0.0,43.0,54.0,64.0,0.0,93.0,92.0,71.0,68.0,0.0,87.0,28.0,0.0,0.0,2004,7,0.0,86.16666666666667,0.0,19.5,49.5,71.0,0.0,82.16666666666667,78.83333333333333,51.333333333333336,23.833333333333332,0.0,87.33333333333333,39.5,0.0,0.0
61,2004-08-01,JP,,0.0,0.0,38.0,,0.0,,0.0,64.0,,,,0.0,,,0.0,2004,8,,0.0,0.0,29.571428571428573,,0.0,,0.0,14.285714285714286,,,,19.142857142857142,,,0.0
63,2004-08-01,US,0.0,85.0,0.0,0.0,53.0,70.0,0.0,83.0,100.0,45.0,0.0,0.0,79.0,43.0,0.0,0.0,2004,8,0.0,85.85714285714286,0.0,22.857142857142858,50.142857142857146,70.0,0.0,83.71428571428571,80.71428571428571,54.142857142857146,30.142857142857142,0.0,87.28571428571429,37.857142857142854,0.0,0.0
62,2004-08-01,KR,,0.0,,54.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2004,8,,0.0,,4.142857142857143,,14.285714285714286,,0.0,,14.285714285714286,,,10.428571428571429,0.0,11.714285714285714,0.0
60,2004-08-01,GB,0.0,69.0,0.0,0.0,61.0,0.0,,91.0,68.0,0.0,,,0.0,0.0,0.0,0.0,2004,8,0.0,60.285714285714285,0.0,0.0,60.285714285714285,0.0,,65.71428571428571,54.285714285714285,14.285714285714286,,,56.714285714285715,0.0,0.0,0.0
57,2004-08-01,CH,,0.0,,0.0,,,,,95.0,,,,0.0,,,,2004,8,,34.142857142857146,,27.571428571428573,,,,,8.571428571428571,,,,0.0,,,
58,2004-08-01,CN,,0.0,7.0,0.0,,,,,,,,,,,,,2004,8,,0.0,1.0,0.0,,,,,,,,,,,,
59,2004-08-01,DE,,0.0,0.0,0.0,0.0,66.0,,0.0,87.0,,0.0,,71.0,,0.0,0.0,2004,8,,0.0,32.285714285714285,23.571428571428573,0.0,24.571428571428573,,0.0,24.571428571428573,,0.0,,22.714285714285715,,0.0,24.285714285714285
56,2004-08-01,CA,,0.0,,,64.0,0.0,,100.0,0.0,0.0,82.0,,,100.0,0.0,0.0,2004,8,,0.0,,,60.42857142857143,0.0,,25.571428571428573,11.0,26.428571428571427,34.0,,,0.0,0.0,23.0
70,2004-09-01,KR,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2004,9,,0.0,,10.375,,12.5,,0.0,,12.5,,,9.125,0.0,10.25,0.0
69,2004-09-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,48.0,2004,9,,0.0,0.0,30.625,,0.0,,0.0,20.5,,,,16.75,,,0.0
68,2004-09-01,GB,0.0,34.0,0.0,0.0,19.0,0.0,,68.0,26.0,0.0,,,53.0,0.0,0.0,0.0,2004,9,0.0,61.375,0.0,0.0,60.375,0.0,,68.875,56.0,12.5,,,49.625,0.0,0.0,0.0
71,2004-09-01,US,0.0,77.0,0.0,0.0,45.0,64.0,0.0,82.0,75.0,18.0,0.0,0.0,86.0,50.0,0.0,0.0,2004,9,0.0,85.75,0.0,20.0,50.5,70.0,0.0,83.625,83.125,53.0,26.375,0.0,86.25,38.5,0.0,0.0
66,2004-09-01,CN,,0.0,8.0,0.0,,,,,,,,,,,,,2004,9,,0.0,1.75,0.0,,,,,,,,,,,,
65,2004-09-01,CH,,0.0,,0.0,,,,,0.0,,,,49.0,,,,2004,9,,29.875,,24.125,,,,,19.375,,,,0.0,,,
64,2004-09-01,CA,,0.0,,,60.0,0.0,,29.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2004,9,,0.0,,,60.875,0.0,,34.875,9.625,23.125,40.0,,,12.5,0.0,20.125
67,2004-09-01,DE,,0.0,26.0,0.0,0.0,88.0,,0.0,36.0,,0.0,,0.0,,0.0,0.0,2004,9,,0.0,28.25,20.625,0.0,29.75,,0.0,32.375,,0.0,,28.75,,0.0,21.25
72,2004-10-01,CA,,0.0,,,57.0,0.0,,58.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2004,10,,0.0,,,60.77777777777778,0.0,,34.22222222222222,8.555555555555555,20.555555555555557,35.55555555555556,,,11.11111111111111,0.0,17.88888888888889
73,2004-10-01,CH,,0.0,,0.0,,,,,55.0,,,,0.0,,,,2004,10,,26.555555555555557,,21.444444444444443,,,,,17.22222222222222,,,,5.444444444444445,,,
74,2004-10-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2004,10,,0.0,2.4444444444444446,0.0,,,,,,,,,,,,
75,2004-10-01,DE,,0.0,0.0,0.0,0.0,0.0,,0.0,40.0,,0.0,,0.0,,0.0,0.0,2004,10,,0.0,28.0,18.333333333333332,0.0,36.22222222222222,,0.0,32.77777777777778,,0.0,,25.555555555555557,,0.0,18.88888888888889
76,2004-10-01,GB,0.0,38.0,0.0,0.0,48.0,0.0,,50.0,0.0,0.0,,,48.0,0.0,0.0,0.0,2004,10,0.0,58.333333333333336,0.0,0.0,55.77777777777778,0.0,,68.77777777777777,52.666666666666664,11.11111111111111,,,50.0,0.0,0.0,0.0
77,2004-10-01,JP,,0.0,0.0,0.0,,0.0,,0.0,91.0,,,,0.0,,,34.0,2004,10,,0.0,0.0,27.22222222222222,,0.0,,0.0,18.22222222222222,,,,14.88888888888889,,,5.333333333333333
78,2004-10-01,KR,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,70.0,0.0,2004,10,,0.0,,9.222222222222221,,11.11111111111111,,0.0,,11.11111111111111,,,8.11111111111111,0.0,9.11111111111111,0.0
79,2004-10-01,US,0.0,71.0,0.0,15.0,49.0,100.0,0.0,87.0,73.0,38.0,0.0,0.0,81.0,70.0,0.0,0.0,2004,10,0.0,84.77777777777777,0.0,17.77777777777778,49.888888888888886,69.33333333333333,0.0,83.44444444444444,82.22222222222223,49.111111111111114,23.444444444444443,0.0,86.22222222222223,39.77777777777778,0.0,0.0
85,2004-11-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,58.0,,,0.0,2004,11,,0.0,0.0,24.5,,0.0,,0.0,25.5,,,,13.4,,,8.2
86,2004-11-01,KR,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2004,11,,0.0,,8.3,,10.0,,0.0,,10.0,,,7.3,0.0,15.2,0.0
84,2004-11-01,GB,0.0,68.0,0.0,0.0,58.0,0.0,,56.0,28.0,0.0,,,59.0,0.0,0.0,0.0,2004,11,0.0,56.3,0.0,0.0,55.0,0.0,,66.9,47.4,10.0,,,49.8,0.0,0.0,0.0
87,2004-11-01,US,69.0,64.0,0.0,64.0,43.0,80.0,0.0,67.0,52.0,67.0,0.0,0.0,72.0,0.0,0.0,0.0,2004,11,0.0,83.4,0.0,17.5,49.8,72.4,0.0,83.8,81.3,48.0,21.1,0.0,85.7,42.8,0.0,0.0
82,2004-11-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2004,11,,0.0,2.2,0.0,,,,,,,,,,,,
81,2004-11-01,CH,,0.0,,0.0,,,,,97.0,,,,100.0,,,,2004,11,,23.9,,19.3,,,,,21.0,,,,4.9,,,
80,2004-11-01,CA,,0.0,,,45.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2004,11,,0.0,,,60.4,0.0,,36.6,7.7,18.5,32.0,,,10.0,0.0,16.1
83,2004-11-01,DE,,0.0,84.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,2004,11,,0.0,25.2,16.5,0.0,32.6,,0.0,33.5,,0.0,,23.0,,0.0,17.0
88,2004-12-01,CA,,0.0,,,31.0,0.0,,0.0,0.0,31.0,0.0,,,22.0,0.0,0.0,2004,12,,0.0,,,59.0,0.0,,33.27272727272727,7.0,16.818181818181817,29.09090909090909,,,9.090909090909092,0.0,14.636363636363637
89,2004-12-01,CH,,0.0,,0.0,,,,,0.0,,,,0.0,,,,2004,12,,21.727272727272727,,17.545454545454547,,,,,27.90909090909091,,,,13.545454545454545,,,
90,2004-12-01,CN,,0.0,13.0,0.0,,,,,,,,,,,,,2004,12,,0.0,2.0,0.0,,,,,,,,,,,,
91,2004-12-01,DE,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,79.0,2004,12,,0.0,30.545454545454547,15.0,0.0,29.636363636363637,,0.0,30.454545454545453,,0.0,,20.90909090909091,,0.0,15.454545454545455
92,2004-12-01,GB,0.0,78.0,0.0,0.0,38.0,0.0,,49.0,0.0,55.0,,,95.0,0.0,0.0,0.0,2004,12,0.0,57.36363636363637,0.0,0.0,55.27272727272727,0.0,,65.9090909090909,45.63636363636363,9.090909090909092,,,50.63636363636363,0.0,0.0,0.0
93,2004-12-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,2004,12,,0.0,0.0,22.272727272727273,,0.0,,0.0,23.181818181818183,,,,17.454545454545453,,,7.454545454545454
94,2004-12-01,KR,,41.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2004,12,,0.0,,7.545454545454546,,9.090909090909092,,0.0,,9.090909090909092,,,6.636363636363637,0.0,13.818181818181818,0.0
95,2004-12-01,US,100.0,67.0,0.0,56.0,39.0,66.0,0.0,49.0,62.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,2004,12,6.2727272727272725,81.63636363636364,0.0,21.727272727272727,49.18181818181818,73.0909090909091,0.0,82.27272727272727,78.63636363636364,49.72727272727273,19.181818181818183,0.0,84.45454545454545,38.90909090909091,0.0,0.0
103,2005-01-01,US,57.0,73.0,0.0,0.0,48.0,59.0,0.0,69.0,85.0,37.0,92.0,73.0,54.0,0.0,0.0,0.0,2005,1,,,,,,,,,,,,,,,,
102,2005-01-01,KR,,68.0,,38.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2005,1,,,,,,,,,,,,,,,,
101,2005-01-01,JP,,0.0,0.0,47.0,,0.0,,0.0,0.0,,,,0.0,,,100.0,2005,1,,,,,,,,,,,,,,,,
100,2005-01-01,GB,0.0,51.0,0.0,0.0,59.0,0.0,,75.0,45.0,0.0,,,59.0,0.0,0.0,0.0,2005,1,,,,,,,,,,,,,,,,
99,2005-01-01,DE,,0.0,0.0,64.0,0.0,47.0,,0.0,0.0,,0.0,,0.0,,0.0,58.0,2005,1,,,,,,,,,,,,,,,,
97,2005-01-01,CH,,64.0,,56.0,,,,,0.0,,,,28.0,,,,2005,1,,,,,,,,,,,,,,,,
96,2005-01-01,CA,,0.0,,,52.0,0.0,,61.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2005,1,,,,,,,,,,,,,,,,
98,2005-01-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2005,1,,,,,,,,,,,,,,,,
104,2005-02-01,CA,,0.0,,,60.0,0.0,,0.0,0.0,95.0,0.0,,,0.0,0.0,0.0,2005,2,,0.0,,,52.0,0.0,,61.0,0.0,0.0,0.0,,,0.0,0.0,0.0
105,2005-02-01,CH,,74.0,,0.0,,,,,47.0,,,,0.0,,,,2005,2,,64.0,,56.0,,,,,0.0,,,,28.0,,,
106,2005-02-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2005,2,,0.0,0.0,0.0,,,,,,,,,,,,
107,2005-02-01,DE,,0.0,100.0,0.0,0.0,40.0,,0.0,0.0,,0.0,,18.0,,0.0,0.0,2005,2,,0.0,0.0,64.0,0.0,47.0,,0.0,0.0,,0.0,,0.0,,0.0,58.0
108,2005-02-01,GB,0.0,61.0,0.0,0.0,56.0,0.0,,64.0,41.0,49.0,,,0.0,0.0,90.0,0.0,2005,2,0.0,51.0,0.0,0.0,59.0,0.0,,75.0,45.0,0.0,,,59.0,0.0,0.0,0.0
109,2005-02-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,27.0,,,0.0,2005,2,,0.0,0.0,47.0,,0.0,,0.0,0.0,,,,0.0,,,100.0
110,2005-02-01,KR,,0.0,,0.0,,0.0,,0.0,,0.0,,,97.0,0.0,100.0,0.0,2005,2,,68.0,,38.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0
111,2005-02-01,US,0.0,81.0,0.0,22.0,46.0,80.0,0.0,68.0,78.0,26.0,0.0,90.0,90.0,41.0,0.0,0.0,2005,2,57.0,73.0,0.0,0.0,48.0,59.0,0.0,69.0,85.0,37.0,92.0,73.0,54.0,0.0,0.0,0.0
118,2005-03-01,KR,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2005,3,,34.0,,19.0,,0.0,,0.0,,0.0,,,48.5,0.0,50.0,0.0
119,2005-03-01,US,0.0,78.0,0.0,30.0,48.0,67.0,0.0,56.0,76.0,0.0,0.0,0.0,72.0,38.0,0.0,0.0,2005,3,28.5,77.0,0.0,11.0,47.0,69.5,0.0,68.5,81.5,31.5,46.0,81.5,72.0,20.5,0.0,0.0
116,2005-03-01,GB,0.0,33.0,0.0,0.0,41.0,0.0,,50.0,31.0,22.0,,,45.0,0.0,0.0,0.0,2005,3,0.0,56.0,0.0,0.0,57.5,0.0,,69.5,43.0,24.5,,,29.5,0.0,45.0,0.0
117,2005-03-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,2005,3,,0.0,0.0,23.5,,0.0,,0.0,0.0,,,,13.5,,,50.0
114,2005-03-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2005,3,,0.0,0.0,0.0,,,,,,,,,,,,
115,2005-03-01,DE,,0.0,37.0,0.0,0.0,29.0,,0.0,20.0,,0.0,,13.0,,0.0,0.0,2005,3,,0.0,50.0,32.0,0.0,43.5,,0.0,0.0,,0.0,,9.0,,0.0,29.0
113,2005-03-01,CH,,0.0,,43.0,,,,,38.0,,,,0.0,,,,2005,3,,69.0,,28.0,,,,,23.5,,,,14.0,,,
112,2005-03-01,CA,,0.0,,,63.0,0.0,,0.0,0.0,0.0,46.0,,,0.0,0.0,0.0,2005,3,,0.0,,,56.0,0.0,,30.5,0.0,47.5,0.0,,,0.0,0.0,0.0
126,2005-04-01,KR,,40.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2005,4,,22.666666666666668,,12.666666666666666,,0.0,,0.0,,0.0,,,32.333333333333336,0.0,33.333333333333336,0.0
