"Year","Month","Monthly_RD_Expenditure"
2020,3,58.9501577729054
2020,4,53.7960459898724
2020,5,55.0128236229421
2020,6,58.5546511138948
2020,7,60.8714668704801
2020,8,57.0970500308191
2020,9,56.7261777202564
2020,10,53.4167229920692
2020,11,49.372735857701
2020,12,55.0024727380952
2021,1,65.494543345899
2021,2,68.0164089378144
2021,3,62.7570050625515
2021,4,58.0122687177382
2021,5,58.8769278343267
2021,6,58.723047507006
2021,7,55.5378475709677
2021,8,58.1546681900062
2021,9,58.064936723569
2021,10,57.2116986094352
2021,11,57.8179049496696
2021,12,51.0456428633576
