COUNTRY,Country,SECTPERF,Sector,SECTFUND,Source of funds,MEASURE,Measure,YEAR,year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,BES,Business enterprise,PNP,Private non-profit sector,MIO_NAC,National Currency,2013,2013,AUD,Australian Dollar,6,Millions,,,5.5,,
AUS,Australia,BES,Business enterprise,PNP,Private non-profit sector,MIO_NAC,National Currency,2015,2015,AUD,Australian Dollar,6,Millions,,,7.6,,
AUS,Australia,BES,Business enterprise,PNP,Private non-profit sector,MIO_NAC,National Currency,2017,2017,AUD,Australian Dollar,6,Millions,,,0,,
AUS,Australia,BES,Business enterprise,PNP,Private non-profit sector,MIO_NAC,National Currency,2019,2019,AUD,Australian Dollar,6,Millions,,,0,,
AUS,Australia,GOV,Government,PNP,Private non-profit sector,MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,102.9,,
AUS,Australia,GOV,Government,PNP,Private non-profit sector,MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,115.3,,
AUS,Australia,GOV,Government,PNP,Private non-profit sector,MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,116,,
AUS,Australia,GOV,Government,PNP,Private non-profit sector,MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,120.6,,
AUS,Australia,HES,Higher education,PNP,Private non-profit sector,MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,192.9,,
AUS,Australia,HES,Higher education,PNP,Private non-profit sector,MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,251.1,,
AUS,Australia,HES,Higher education,PNP,Private non-profit sector,MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,300.6,,
AUS,Australia,HES,Higher education,PNP,Private non-profit sector,MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,415.8,,
AUS,Australia,PNP,Private non-profit,PNP,Private non-profit sector,MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,388.2,,
AUS,Australia,PNP,Private non-profit,PNP,Private non-profit sector,MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,413.7,v,The sum of the breakdown does not add to the total (see source and methods)
AUS,Australia,PNP,Private non-profit,PNP,Private non-profit sector,MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,528.8,v,The sum of the breakdown does not add to the total (see source and methods)
AUS,Australia,PNP,Private non-profit,PNP,Private non-profit sector,MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,534.2,,
AUS,Australia,_T,Total intramural,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2013,2013,USD,US Dollar,6,Millions,2015,2015,22441.069,E,Estimated value
AUS,Australia,_T,Total intramural,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2015,2015,USD,US Dollar,6,Millions,2015,2015,21157.077,E,Estimated value
AUS,Australia,_T,Total intramural,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2017,2017,USD,US Dollar,6,Millions,2015,2015,21236.873,E,Estimated value
AUS,Australia,_T,Total intramural,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2019,2019,USD,US Dollar,6,Millions,2015,2015,21738.737,E,Estimated value
AUS,Australia,BES,Business enterprise,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2013,2013,USD,US Dollar,6,Millions,2015,2015,12637.638,,
AUS,Australia,BES,Business enterprise,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2015,2015,USD,US Dollar,6,Millions,2015,2015,11304.471,,
AUS,Australia,BES,Business enterprise,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2017,2017,USD,US Dollar,6,Millions,2015,2015,11200.777,,
AUS,Australia,BES,Business enterprise,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2019,2019,USD,US Dollar,6,Millions,2015,2015,11095.353,,
AUS,Australia,GOV,Government,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2013,2013,USD,US Dollar,6,Millions,2015,2015,2515.272,E,Estimated value
AUS,Australia,GOV,Government,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2014,2014,USD,US Dollar,6,Millions,2015,2015,2245.485,,
AUS,Australia,GOV,Government,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2015,2015,USD,US Dollar,6,Millions,2015,2015,2686.451,E,Estimated value
AUS,Australia,GOV,Government,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2016,2016,USD,US Dollar,6,Millions,2015,2015,2144.611,,
AUS,Australia,GOV,Government,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2017,2017,USD,US Dollar,6,Millions,2015,2015,2138.333,E,Estimated value
AUS,Australia,GOV,Government,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2018,2018,USD,US Dollar,6,Millions,2015,2015,2068.562,,
AUS,Australia,GOV,Government,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2019,2019,USD,US Dollar,6,Millions,2015,2015,2066.285,E,Estimated value
AUS,Australia,GOV,Government,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2020,2020,USD,US Dollar,6,Millions,2015,2015,2148.976,,
AUS,Australia,HES,Higher education,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2013,2013,USD,US Dollar,6,Millions,2015,2015,6649.956,E,Estimated value
AUS,Australia,HES,Higher education,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2014,2014,USD,US Dollar,6,Millions,2015,2015,6842.481,,
AUS,Australia,HES,Higher education,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2015,2015,USD,US Dollar,6,Millions,2015,2015,6479.647,E,Estimated value
AUS,Australia,HES,Higher education,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2016,2016,USD,US Dollar,6,Millions,2015,2015,7114.8,,
AUS,Australia,HES,Higher education,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2017,2017,USD,US Dollar,6,Millions,2015,2015,7216.632,E,Estimated value
AUS,Australia,HES,Higher education,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2018,2018,USD,US Dollar,6,Millions,2015,2015,7552.756,,
AUS,Australia,HES,Higher education,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2019,2019,USD,US Dollar,6,Millions,2015,2015,7763.224,E,Estimated value
AUS,Australia,HES,Higher education,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2020,2020,USD,US Dollar,6,Millions,2015,2015,7524.148,,
AUS,Australia,PNP,Private non-profit,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2013,2013,USD,US Dollar,6,Millions,2015,2015,638.137,E,Estimated value
AUS,Australia,PNP,Private non-profit,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2014,2014,USD,US Dollar,6,Millions,2015,2015,679.25,,
AUS,Australia,PNP,Private non-profit,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2015,2015,USD,US Dollar,6,Millions,2015,2015,686.032,E,Estimated value
AUS,Australia,PNP,Private non-profit,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2016,2016,USD,US Dollar,6,Millions,2015,2015,680.117,,
AUS,Australia,PNP,Private non-profit,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2017,2017,USD,US Dollar,6,Millions,2015,2015,680.875,E,Estimated value
AUS,Australia,PNP,Private non-profit,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2018,2018,USD,US Dollar,6,Millions,2015,2015,788.462,,
AUS,Australia,PNP,Private non-profit,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2019,2019,USD,US Dollar,6,Millions,2015,2015,813.936,E,Estimated value
AUS,Australia,PNP,Private non-profit,_T,Total funding,DF6,2015 Dollars - Constant prices and PPPs,2020,2020,USD,US Dollar,6,Millions,2015,2015,830.724,,
AUS,Australia,BES,Business enterprise,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2013,2013,USD,US Dollar,6,Millions,2015,2015,12157.861,,
AUS,Australia,BES,Business enterprise,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2015,2015,USD,US Dollar,6,Millions,2015,2015,10874.801,,
AUS,Australia,BES,Business enterprise,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2017,2017,USD,US Dollar,6,Millions,2015,2015,10755.318,,
AUS,Australia,BES,Business enterprise,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2019,2019,USD,US Dollar,6,Millions,2015,2015,10554.785,,
AUS,Australia,GOV,Government,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2014,2014,USD,US Dollar,6,Millions,2015,2015,221.763,,
AUS,Australia,GOV,Government,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2016,2016,USD,US Dollar,6,Millions,2015,2015,220.884,,
AUS,Australia,GOV,Government,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2018,2018,USD,US Dollar,6,Millions,2015,2015,206.558,,
AUS,Australia,GOV,Government,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2020,2020,USD,US Dollar,6,Millions,2015,2015,263.9,,
AUS,Australia,HES,Higher education,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2014,2014,USD,US Dollar,6,Millions,2015,2015,345.594,,
AUS,Australia,HES,Higher education,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2016,2016,USD,US Dollar,6,Millions,2015,2015,364.194,,
AUS,Australia,HES,Higher education,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2018,2018,USD,US Dollar,6,Millions,2015,2015,370.003,,
AUS,Australia,HES,Higher education,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2020,2020,USD,US Dollar,6,Millions,2015,2015,413.223,,
AUS,Australia,PNP,Private non-profit,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2014,2014,USD,US Dollar,6,Millions,2015,2015,43.84,,
AUS,Australia,PNP,Private non-profit,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2016,2016,USD,US Dollar,6,Millions,2015,2015,38.264,v,The sum of the breakdown does not add to the total (see source and methods)
AUS,Australia,PNP,Private non-profit,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2018,2018,USD,US Dollar,6,Millions,2015,2015,52.183,v,The sum of the breakdown does not add to the total (see source and methods)
AUS,Australia,PNP,Private non-profit,BES,Business enterprise sector,DF6,2015 Dollars - Constant prices and PPPs,2020,2020,USD,US Dollar,6,Millions,2015,2015,55.892,,
AUS,Australia,BES,Business enterprise,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2013,2013,USD,US Dollar,6,Millions,2015,2015,201.672,,
AUS,Australia,BES,Business enterprise,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2015,2015,USD,US Dollar,6,Millions,2015,2015,176.631,,
AUS,Australia,BES,Business enterprise,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2017,2017,USD,US Dollar,6,Millions,2015,2015,175.614,,
AUS,Australia,BES,Business enterprise,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2019,2019,USD,US Dollar,6,Millions,2015,2015,214.383,,
AUS,Australia,GOV,Government,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2014,2014,USD,US Dollar,6,Millions,2015,2015,64.344,,
AUS,Australia,GOV,Government,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2016,2016,USD,US Dollar,6,Millions,2015,2015,59.391,,
AUS,Australia,GOV,Government,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2018,2018,USD,US Dollar,6,Millions,2015,2015,59.7,,
AUS,Australia,GOV,Government,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2020,2020,USD,US Dollar,6,Millions,2015,2015,57.971,,
AUS,Australia,HES,Higher education,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2014,2014,USD,US Dollar,6,Millions,2015,2015,162.141,,
AUS,Australia,HES,Higher education,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2016,2016,USD,US Dollar,6,Millions,2015,2015,243.516,,
AUS,Australia,HES,Higher education,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2018,2018,USD,US Dollar,6,Millions,2015,2015,242.527,,
AUS,Australia,HES,Higher education,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2020,2020,USD,US Dollar,6,Millions,2015,2015,264.91,,
AUS,Australia,PNP,Private non-profit,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2014,2014,USD,US Dollar,6,Millions,2015,2015,30.958,,
AUS,Australia,PNP,Private non-profit,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2016,2016,USD,US Dollar,6,Millions,2015,2015,33.358,,
AUS,Australia,PNP,Private non-profit,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2018,2018,USD,US Dollar,6,Millions,2015,2015,33.236,,
AUS,Australia,PNP,Private non-profit,ROW,Rest of the world (ROW),DF6,2015 Dollars - Constant prices and PPPs,2020,2020,USD,US Dollar,6,Millions,2015,2015,63.436,,
AUS,Australia,BES,Business enterprise,GOV,Government sector,DF6,2015 Dollars - Constant prices and PPPs,2013,2013,USD,US Dollar,6,Millions,2015,2015,269.79,,
AUS,Australia,BES,Business enterprise,GOV,Government sector,DF6,2015 Dollars - Constant prices and PPPs,2015,2015,USD,US Dollar,6,Millions,2015,2015,247.677,,
