"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDEXPRD","TOT","MLN_USD","A","1987",3015.76962179672,
"AUT","GDEXPRD","TOT","MLN_USD","A","1988",3215.5403565888,
"AUT","GDEXPRD","TOT","MLN_USD","A","1989",3393.31659596151,
"AUT","GDEXPRD","TOT","MLN_USD","A","1990",3666.59314660687,
"AUT","GDEXPRD","TOT","MLN_USD","A","1991",4008.53323353054,
"AUT","GDEXPRD","TOT","MLN_USD","A","1992",4055.54360943465,
"AUT","GDEXPRD","TOT","MLN_USD","A","1993",4125.40208664879,
"AUT","GDEXPRD","TOT","MLN_USD","A","1994",4456.04272460601,
"AUT","GDEXPRD","TOT","MLN_USD","A","1995",4635.6604067906,
"AUT","GDEXPRD","TOT","MLN_USD","A","1996",4902.80088218226,
"AUT","GDEXPRD","TOT","MLN_USD","A","1997",5240.2126700275,
"AUT","GDEXPRD","TOT","MLN_USD","A","1998",5679.24526724512,
"AUT","GDEXPRD","TOT","MLN_USD","A","1999",6267.82119127983,
"AUT","GDEXPRD","TOT","MLN_USD","A","2000",6622.14483774095,
"AUT","GDEXPRD","TOT","MLN_USD","A","2001",7083.24366890752,
"AUT","GDEXPRD","TOT","MLN_USD","A","2002",7467.25550111105,
"AUT","GDEXPRD","TOT","MLN_USD","A","2003",7933.67489558838,
"AUT","GDEXPRD","TOT","MLN_USD","A","2004",8119.03650214408,
"AUT","GDEXPRD","TOT","MLN_USD","A","2005",9094.99376194869,
"AUT","GDEXPRD","TOT","MLN_USD","A","2006",9353.58234652983,
"AUT","GDEXPRD","TOT","MLN_USD","A","2007",9945.70835428377,
"AUT","GDEXPRD","TOT","MLN_USD","A","2008",10721.0745097445,
"AUT","GDEXPRD","TOT","MLN_USD","A","2009",10427.0471362422,
"AUT","GDEXPRD","TOT","MLN_USD","A","2010",11147.5974802985,
"AUT","GDEXPRD","TOT","MLN_USD","A","2011",11231.7426575564,
"AUT","GDEXPRD","TOT","MLN_USD","A","2012",12350.7341574709,
"AUT","GDEXPRD","TOT","MLN_USD","A","2013",12524.2680483109,
"AUT","GDEXPRD","TOT","MLN_USD","A","2014",13159.034572333,
"AUT","GDEXPRD","TOT","MLN_USD","A","2015",13143.4317996908,
"AUT","GDEXPRD","TOT","MLN_USD","A","2016",13698.7800097897,
"AUT","GDEXPRD","TOT","MLN_USD","A","2017",13738.5654484865,
"AUT","GDEXPRD","TOT","MLN_USD","A","2018",14234.1132797062,
"AUT","GDEXPRD","TOT","MLN_USD","A","2019",14640.079285373,
"AUT","GDEXPRD","TOT","MLN_USD","A","2020",13996.9332146442,
"AUT","GDEXPRD","TOT","MLN_USD","A","2021",14577.3279661835,
"AUT","GDEXPRD","TOT","PC_GDP","A","1981",1.08998446539469,
"AUT","GDEXPRD","TOT","PC_GDP","A","1982",1.13556683151004,
"AUT","GDEXPRD","TOT","PC_GDP","A","1983",1.14474248320651,
"AUT","GDEXPRD","TOT","PC_GDP","A","1984",1.1948537641831,
"AUT","GDEXPRD","TOT","PC_GDP","A","1985",1.19686282764169,
"AUT","GDEXPRD","TOT","PC_GDP","A","1986",1.23623141956436,
"AUT","GDEXPRD","TOT","PC_GDP","A","1987",1.24378836166898,
"AUT","GDEXPRD","TOT","PC_GDP","A","1988",1.28386479536483,
"AUT","GDEXPRD","TOT","PC_GDP","A","1989",1.30415193232277,
"AUT","GDEXPRD","TOT","PC_GDP","A","1990",1.35049262497982,
"AUT","GDEXPRD","TOT","PC_GDP","A","1991",1.42731437094813,
"AUT","GDEXPRD","TOT","PC_GDP","A","1992",1.41444162272791,
"AUT","GDEXPRD","TOT","PC_GDP","A","1993",1.43126594165034,
"AUT","GDEXPRD","TOT","PC_GDP","A","1994",1.50971321529818,
"AUT","GDEXPRD","TOT","PC_GDP","A","1995",1.52975432983926,
"AUT","GDEXPRD","TOT","PC_GDP","A","1996",1.58076919537147,
"AUT","GDEXPRD","TOT","PC_GDP","A","1997",1.65491086019058,
"AUT","GDEXPRD","TOT","PC_GDP","A","1998",1.73154759330961,
"AUT","GDEXPRD","TOT","PC_GDP","A","1999",1.84537125182573,
"AUT","GDEXPRD","TOT","PC_GDP","A","2000",1.88602424420832,
"AUT","GDEXPRD","TOT","PC_GDP","A","2001",1.99210448081461,
"AUT","GDEXPRD","TOT","PC_GDP","A","2002",2.06598383788809,
"AUT","GDEXPRD","TOT","PC_GDP","A","2003",2.17455641590277,
"AUT","GDEXPRD","TOT","PC_GDP","A","2004",2.16611664552492,
"AUT","GDEXPRD","TOT","PC_GDP","A","2005",2.37323990476357,
"AUT","GDEXPRD","TOT","PC_GDP","A","2006",2.35922709819809,
"AUT","GDEXPRD","TOT","PC_GDP","A","2007",2.41843231712657,
"AUT","GDEXPRD","TOT","PC_GDP","A","2008",2.5694481629698,
"AUT","GDEXPRD","TOT","PC_GDP","A","2009",2.59673677655242,
"AUT","GDEXPRD","TOT","PC_GDP","A","2010",2.72610057349756,
"AUT","GDEXPRD","TOT","PC_GDP","A","2011",2.66867789645755,
"AUT","GDEXPRD","TOT","PC_GDP","A","2012",2.91471878002482,
"AUT","GDEXPRD","TOT","PC_GDP","A","2013",2.95491836935052,
"AUT","GDEXPRD","TOT","PC_GDP","A","2014",3.08428672143724,
"AUT","GDEXPRD","TOT","PC_GDP","A","2015",3.04969049949657,
"AUT","GDEXPRD","TOT","PC_GDP","A","2016",3.1165470454446,
"AUT","GDEXPRD","TOT","PC_GDP","A","2017",3.05656374330139,
"AUT","GDEXPRD","TOT","PC_GDP","A","2018",3.0918248356644,
"AUT","GDEXPRD","TOT","PC_GDP","A","2019",3.13247385486813,
"AUT","GDEXPRD","TOT","PC_GDP","A","2020",3.20148556664863,
"AUT","GDEXPRD","TOT","PC_GDP","A","2021",3.18892340580606,
"BEL","GDEXPRD","TOT","MLN_USD","A","1983",4080.0820262288,
"BEL","GDEXPRD","TOT","MLN_USD","A","1984",4213.97521815384,
"BEL","GDEXPRD","TOT","MLN_USD","A","1985",4426.02815265549,
"BEL","GDEXPRD","TOT","MLN_USD","A","1986",4515.7619147452,
"BEL","GDEXPRD","TOT","MLN_USD","A","1987",4656.33053172479,
"BEL","GDEXPRD","TOT","MLN_USD","A","1988",4737.95896872001,
"BEL","GDEXPRD","TOT","MLN_USD","A","1989",5074.55370332505,
"BEL","GDEXPRD","TOT","MLN_USD","A","1991",5248.60774126119,
"BEL","GDEXPRD","TOT","MLN_USD","A","1993",5541.22138169952,
"BEL","GDEXPRD","TOT","MLN_USD","A","1994",5686.58719114214,
"BEL","GDEXPRD","TOT","MLN_USD","A","1995",5893.96586198894,
"BEL","GDEXPRD","TOT","MLN_USD","A","1996",6318.79168451662,
"BEL","GDEXPRD","TOT","MLN_USD","A","1997",6809.59099062129,
"BEL","GDEXPRD","TOT","MLN_USD","A","1998",7052.66648522592,
"BEL","GDEXPRD","TOT","MLN_USD","A","1999",7570.25287257382,
"BEL","GDEXPRD","TOT","MLN_USD","A","2000",7977.48394245692,
"BEL","GDEXPRD","TOT","MLN_USD","A","2001",8467.57776611634,
"BEL","GDEXPRD","TOT","MLN_USD","A","2002",8063.2855375884,
"BEL","GDEXPRD","TOT","MLN_USD","A","2003",7881.35937483958,
"BEL","GDEXPRD","TOT","MLN_USD","A","2004",8071.09090986355,
"BEL","GDEXPRD","TOT","MLN_USD","A","2005",8122.84949756864,
"BEL","GDEXPRD","TOT","MLN_USD","A","2006",8479.4437281183,
"BEL","GDEXPRD","TOT","MLN_USD","A","2007",8922.90526755762,
"BEL","GDEXPRD","TOT","MLN_USD","A","2008",9383.52649654139,
"BEL","GDEXPRD","TOT","MLN_USD","A","2009",9487.07128142787,
"BEL","GDEXPRD","TOT","MLN_USD","A","2010",10067.7839884114,
"BEL","GDEXPRD","TOT","MLN_USD","A","2011",10791.7865393066,
"BEL","GDEXPRD","TOT","MLN_USD","A","2012",11410.887400616,
"BEL","GDEXPRD","TOT","MLN_USD","A","2013",11712.4654000665,
"BEL","GDEXPRD","TOT","MLN_USD","A","2014",12097.9150752215,
"BEL","GDEXPRD","TOT","MLN_USD","A","2015",12647.7756591749,
"BEL","GDEXPRD","TOT","MLN_USD","A","2016",13310.2009346071,
"BEL","GDEXPRD","TOT","MLN_USD","A","2017",14293.8029032602,
"BEL","GDEXPRD","TOT","MLN_USD","A","2018",15605.9485324701,
"BEL","GDEXPRD","TOT","MLN_USD","A","2019",17610.432516676,
"BEL","GDEXPRD","TOT","MLN_USD","A","2020",17710.6225994221,
"BEL","GDEXPRD","TOT","MLN_USD","A","2021",18017.4749426187,
"BEL","GDEXPRD","TOT","PC_GDP","A","1983",1.49645052720352,
"BEL","GDEXPRD","TOT","PC_GDP","A","1984",1.50835664840746,
"BEL","GDEXPRD","TOT","PC_GDP","A","1985",1.5585157442497,
"BEL","GDEXPRD","TOT","PC_GDP","A","1986",1.56164812639193,
"BEL","GDEXPRD","TOT","PC_GDP","A","1987",1.57395403487419,
"BEL","GDEXPRD","TOT","PC_GDP","A","1988",1.52931376665707,
"BEL","GDEXPRD","TOT","PC_GDP","A","1989",1.58304114806976,
"BEL","GDEXPRD","TOT","PC_GDP","A","1991",1.55895443854328,
"BEL","GDEXPRD","TOT","PC_GDP","A","1993",1.63679843977686,
"BEL","GDEXPRD","TOT","PC_GDP","A","1994",1.62722728413134,
"BEL","GDEXPRD","TOT","PC_GDP","A","1995",1.64728531311123,
"BEL","GDEXPRD","TOT","PC_GDP","A","1996",1.74298579592519,
"BEL","GDEXPRD","TOT","PC_GDP","A","1997",1.80971431132768,
"BEL","GDEXPRD","TOT","PC_GDP","A","1998",1.83825100209007,
"BEL","GDEXPRD","TOT","PC_GDP","A","1999",1.90564580566189,
"BEL","GDEXPRD","TOT","PC_GDP","A","2000",1.93619516589671,
"BEL","GDEXPRD","TOT","PC_GDP","A","2001",2.0327916505539,
"BEL","GDEXPRD","TOT","PC_GDP","A","2002",1.90324791270747,
"BEL","GDEXPRD","TOT","PC_GDP","A","2003",1.84119500416429,
"BEL","GDEXPRD","TOT","PC_GDP","A","2004",1.82050497301897,
"BEL","GDEXPRD","TOT","PC_GDP","A","2005",1.79060640173966,
"BEL","GDEXPRD","TOT","PC_GDP","A","2006",1.82269277552156,
"BEL","GDEXPRD","TOT","PC_GDP","A","2007",1.84999463067951,
"BEL","GDEXPRD","TOT","PC_GDP","A","2008",1.93683938647268,
"BEL","GDEXPRD","TOT","PC_GDP","A","2009",1.99859844697766,
"BEL","GDEXPRD","TOT","PC_GDP","A","2010",2.06187639426216,
"BEL","GDEXPRD","TOT","PC_GDP","A","2011",2.17332441767619,
"BEL","GDEXPRD","TOT","PC_GDP","A","2012",2.28114063401875,
"BEL","GDEXPRD","TOT","PC_GDP","A","2013",2.330725157809,
"BEL","GDEXPRD","TOT","PC_GDP","A","2014",2.37001632492836,
"BEL","GDEXPRD","TOT","PC_GDP","A","2015",2.42816558811658,
"BEL","GDEXPRD","TOT","PC_GDP","A","2016",2.52337710682044,
"BEL","GDEXPRD","TOT","PC_GDP","A","2017",2.66666179830091,
"BEL","GDEXPRD","TOT","PC_GDP","A","2018",2.86017522412742,
"BEL","GDEXPRD","TOT","PC_GDP","A","2019",3.15680681925018,
"BEL","GDEXPRD","TOT","PC_GDP","A","2020",3.35462086444381,
"BEL","GDEXPRD","TOT","PC_GDP","A","2021",3.21550773065962,
"CAN","GDEXPRD","TOT","MLN_USD","A","1981",8458.53067626155,
"CAN","GDEXPRD","TOT","MLN_USD","A","1982",9081.35530363039,
"CAN","GDEXPRD","TOT","MLN_USD","A","1983",9126.4903889368,
"CAN","GDEXPRD","TOT","MLN_USD","A","1984",9877.6195865978,
"CAN","GDEXPRD","TOT","MLN_USD","A","1985",10604.4579724551,
"CAN","GDEXPRD","TOT","MLN_USD","A","1986",11020.3329004644,
"CAN","GDEXPRD","TOT","MLN_USD","A","1987",11174.8506263844,
"CAN","GDEXPRD","TOT","MLN_USD","A","1988",11589.4158986872,
"CAN","GDEXPRD","TOT","MLN_USD","A","1989",12492.3578977242,
"CAN","GDEXPRD","TOT","MLN_USD","A","1990",12955.9148666005,
"CAN","GDEXPRD","TOT","MLN_USD","A","1991",13137.1286722748,
"CAN","GDEXPRD","TOT","MLN_USD","A","1992",13580.3332841865,
"CAN","GDEXPRD","TOT","MLN_USD","A","1993",14344.5838768057,
"CAN","GDEXPRD","TOT","MLN_USD","A","1994",15458.5966920263,
"CAN","GDEXPRD","TOT","MLN_USD","A","1995",15735.2451332076,
"CAN","GDEXPRD","TOT","MLN_USD","A","1996",15623.5002108226,
"CAN","GDEXPRD","TOT","MLN_USD","A","1997",16304.1352543058,
"CAN","GDEXPRD","TOT","MLN_USD","A","1998",17679.2243508043,
"CAN","GDEXPRD","TOT","MLN_USD","A","1999",19123.7162207951,
"CAN","GDEXPRD","TOT","MLN_USD","A","2000",21748.0514574105,
"CAN","GDEXPRD","TOT","MLN_USD","A","2001",23974.0393131953,
"CAN","GDEXPRD","TOT","MLN_USD","A","2002",23836.9656269307,
"CAN","GDEXPRD","TOT","MLN_USD","A","2003",24648.739457124,
"CAN","GDEXPRD","TOT","MLN_USD","A","2004",26165.1913298187,
"CAN","GDEXPRD","TOT","MLN_USD","A","2005",26964.2357394488,
"CAN","GDEXPRD","TOT","MLN_USD","A","2006",27354.7991210384,
"CAN","GDEXPRD","TOT","MLN_USD","A","2007",27601.5845003174,
"CAN","GDEXPRD","TOT","MLN_USD","A","2008",27569.1936338647,
"CAN","GDEXPRD","TOT","MLN_USD","A","2009",26802.7314250857,
"CAN","GDEXPRD","TOT","MLN_USD","A","2010",26718.2709812372,
"CAN","GDEXPRD","TOT","MLN_USD","A","2011",27247.6827653473,
"CAN","GDEXPRD","TOT","MLN_USD","A","2012",27372.7874650363,
"CAN","GDEXPRD","TOT","MLN_USD","A","2013",27007.439245208,
"CAN","GDEXPRD","TOT","MLN_USD","A","2014",27791.9793024325,
"CAN","GDEXPRD","TOT","MLN_USD","A","2015",27004.6979120185,
"CAN","GDEXPRD","TOT","MLN_USD","A","2016",27755.6378583315,
"CAN","GDEXPRD","TOT","MLN_USD","A","2017",28228.1296753994,
"CAN","GDEXPRD","TOT","MLN_USD","A","2018",29895.1052866978,
"CAN","GDEXPRD","TOT","MLN_USD","A","2019",30696.6255814402,
"CAN","GDEXPRD","TOT","MLN_USD","A","2020",31111.028153459,
"CAN","GDEXPRD","TOT","MLN_USD","A","2021",30477.1553950946,
"CAN","GDEXPRD","TOT","MLN_USD","A","2022",28564.3588273563,
"CAN","GDEXPRD","TOT","PC_GDP","A","1981",1.19856226822819,
"CAN","GDEXPRD","TOT","PC_GDP","A","1982",1.33906605423759,
"CAN","GDEXPRD","TOT","PC_GDP","A","1983",1.30899372442537,
"CAN","GDEXPRD","TOT","PC_GDP","A","1984",1.34289783673098,
"CAN","GDEXPRD","TOT","PC_GDP","A","1985",1.38012547322445,
"CAN","GDEXPRD","TOT","PC_GDP","A","1986",1.41655431707271,
"CAN","GDEXPRD","TOT","PC_GDP","A","1987",1.36940745486962,
"CAN","GDEXPRD","TOT","PC_GDP","A","1988",1.35238174236793,
"CAN","GDEXPRD","TOT","PC_GDP","A","1989",1.41740584503089,
"CAN","GDEXPRD","TOT","PC_GDP","A","1990",1.47519557843914,
"CAN","GDEXPRD","TOT","PC_GDP","A","1991",1.53468429249914,
"CAN","GDEXPRD","TOT","PC_GDP","A","1992",1.57815031540736,
"CAN","GDEXPRD","TOT","PC_GDP","A","1993",1.63097677892795,
"CAN","GDEXPRD","TOT","PC_GDP","A","1994",1.68465551812438,
"CAN","GDEXPRD","TOT","PC_GDP","A","1995",1.65387838931436,
"CAN","GDEXPRD","TOT","PC_GDP","A","1996",1.60682178187883,
"CAN","GDEXPRD","TOT","PC_GDP","A","1997",1.61380311072789,
"CAN","GDEXPRD","TOT","PC_GDP","A","1998",1.71049218115397,
"CAN","GDEXPRD","TOT","PC_GDP","A","1999",1.74982910468715,
"CAN","GDEXPRD","TOT","PC_GDP","A","2000",1.85847020670463,
"CAN","GDEXPRD","TOT","PC_GDP","A","2001",2.02115604219326,
"CAN","GDEXPRD","TOT","PC_GDP","A","2002",1.97169458839535,
"CAN","GDEXPRD","TOT","PC_GDP","A","2003",1.96780705592442,
"CAN","GDEXPRD","TOT","PC_GDP","A","2004",1.99733329540154,
"CAN","GDEXPRD","TOT","PC_GDP","A","2005",1.97124346682236,
"CAN","GDEXPRD","TOT","PC_GDP","A","2006",1.94299894962194,
"CAN","GDEXPRD","TOT","PC_GDP","A","2007",1.90357751126509,
"CAN","GDEXPRD","TOT","PC_GDP","A","2008",1.85577785944947,
"CAN","GDEXPRD","TOT","PC_GDP","A","2009",1.91741539354459,
"CAN","GDEXPRD","TOT","PC_GDP","A","2010",1.82527754302397,
"CAN","GDEXPRD","TOT","PC_GDP","A","2011",1.78714059196319,
"CAN","GDEXPRD","TOT","PC_GDP","A","2012",1.7723282769657,
"CAN","GDEXPRD","TOT","PC_GDP","A","2013",1.70540418778424,
"CAN","GDEXPRD","TOT","PC_GDP","A","2014",1.71417285495299,
"CAN","GDEXPRD","TOT","PC_GDP","A","2015",1.69324285422175,
"CAN","GDEXPRD","TOT","PC_GDP","A","2016",1.7290246774309,
"CAN","GDEXPRD","TOT","PC_GDP","A","2017",1.68701804739795,
"CAN","GDEXPRD","TOT","PC_GDP","A","2018",1.73719346506089,
"CAN","GDEXPRD","TOT","PC_GDP","A","2019",1.75573347257023,
"CAN","GDEXPRD","TOT","PC_GDP","A","2020",1.8948436448519,
"CAN","GDEXPRD","TOT","PC_GDP","A","2021",1.69727026184862,
"CAN","GDEXPRD","TOT","PC_GDP","A","2022",1.5518187912258,
"CZE","GDEXPRD","TOT","MLN_USD","A","1995",1929.58151633102,
"CZE","GDEXPRD","TOT","MLN_USD","A","1996",2042.17403920917,
"CZE","GDEXPRD","TOT","MLN_USD","A","1997",2257.94707882354,
"CZE","GDEXPRD","TOT","MLN_USD","A","1998",2413.90482784994,
"CZE","GDEXPRD","TOT","MLN_USD","A","1999",2422.73580851485,
"CZE","GDEXPRD","TOT","MLN_USD","A","2000",2664.67395909189,
"CZE","GDEXPRD","TOT","MLN_USD","A","2001",2717.88309450473,
"CZE","GDEXPRD","TOT","MLN_USD","A","2002",2759.26441490105,
"CZE","GDEXPRD","TOT","MLN_USD","A","2003",2972.41286327889,
"CZE","GDEXPRD","TOT","MLN_USD","A","2004",3108.02400271966,
"CZE","GDEXPRD","TOT","MLN_USD","A","2005",3376.1452393051,
"CZE","GDEXPRD","TOT","MLN_USD","A","2006",3804.63403337468,
"CZE","GDEXPRD","TOT","MLN_USD","A","2007",4246.98726099278,
"CZE","GDEXPRD","TOT","MLN_USD","A","2008",4151.92387863868,
"CZE","GDEXPRD","TOT","MLN_USD","A","2009",4128.55583587154,
"CZE","GDEXPRD","TOT","MLN_USD","A","2010",4361.04745648383,
"CZE","GDEXPRD","TOT","MLN_USD","A","2011",5167.23512478844,
"CZE","GDEXPRD","TOT","MLN_USD","A","2012",5873.07234981951,
"CZE","GDEXPRD","TOT","MLN_USD","A","2013",6233.84061128392,
"CZE","GDEXPRD","TOT","MLN_USD","A","2014",6643.1498007338,
"CZE","GDEXPRD","TOT","MLN_USD","A","2015",6852.95471908851,
"CZE","GDEXPRD","TOT","MLN_USD","A","2016",6121.90399846511,
"CZE","GDEXPRD","TOT","MLN_USD","A","2017",6818.14796732489,
"CZE","GDEXPRD","TOT","MLN_USD","A","2018",7557.05609956198,
"CZE","GDEXPRD","TOT","MLN_USD","A","2019",7901.97521168632,
"CZE","GDEXPRD","TOT","MLN_USD","A","2020",7694.32987438386,
"CZE","GDEXPRD","TOT","MLN_USD","A","2021",8007.89099050234,
"CZE","GDEXPRD","TOT","PC_GDP","A","1995",0.87593481450298,
"CZE","GDEXPRD","TOT","PC_GDP","A","1996",0.88912152761643,
"CZE","GDEXPRD","TOT","PC_GDP","A","1997",0.98818685109872,
"CZE","GDEXPRD","TOT","PC_GDP","A","1998",1.06022190238076,
"CZE","GDEXPRD","TOT","PC_GDP","A","1999",1.04957294395919,
"CZE","GDEXPRD","TOT","PC_GDP","A","2000",1.10997452529849,
"CZE","GDEXPRD","TOT","PC_GDP","A","2001",1.09870553047815,
"CZE","GDEXPRD","TOT","PC_GDP","A","2002",1.09819389353032,
"CZE","GDEXPRD","TOT","PC_GDP","A","2003",1.14209824711028,
"CZE","GDEXPRD","TOT","PC_GDP","A","2004",1.13935305291265,
"CZE","GDEXPRD","TOT","PC_GDP","A","2005",1.1609974960441,
"CZE","GDEXPRD","TOT","PC_GDP","A","2006",1.22542372456053,
"CZE","GDEXPRD","TOT","PC_GDP","A","2007",1.29572380725855,
"CZE","GDEXPRD","TOT","PC_GDP","A","2008",1.23358160213314,
"CZE","GDEXPRD","TOT","PC_GDP","A","2009",1.28655796748872,
"CZE","GDEXPRD","TOT","PC_GDP","A","2010",1.32670404070255,
"CZE","GDEXPRD","TOT","PC_GDP","A","2011",1.54476645407074,
"CZE","GDEXPRD","TOT","PC_GDP","A","2012",1.76967142799845,
"CZE","GDEXPRD","TOT","PC_GDP","A","2013",1.87924059316247,
"CZE","GDEXPRD","TOT","PC_GDP","A","2014",1.958330634001,
"CZE","GDEXPRD","TOT","PC_GDP","A","2015",1.91688960340106,
"CZE","GDEXPRD","TOT","PC_GDP","A","2016",1.67002873055278,
"CZE","GDEXPRD","TOT","PC_GDP","A","2017",1.76854959801299,
"CZE","GDEXPRD","TOT","PC_GDP","A","2018",1.89906243317714,
"CZE","GDEXPRD","TOT","PC_GDP","A","2019",1.92734326766581,
"CZE","GDEXPRD","TOT","PC_GDP","A","2020",1.9859853539882,
"CZE","GDEXPRD","TOT","PC_GDP","A","2021",1.99600613941029,
"DNK","GDEXPRD","TOT","MLN_USD","A","1981",1523.84427772088,
"DNK","GDEXPRD","TOT","MLN_USD","A","1982",1638.68190869675,
"DNK","GDEXPRD","TOT","MLN_USD","A","1983",1757.90240732489,
"DNK","GDEXPRD","TOT","MLN_USD","A","1984",1876.44727808621,
"DNK","GDEXPRD","TOT","MLN_USD","A","1985",2006.92780165705,
"DNK","GDEXPRD","TOT","MLN_USD","A","1986",2247.36932275761,
"DNK","GDEXPRD","TOT","MLN_USD","A","1987",2418.0074943256,
"DNK","GDEXPRD","TOT","MLN_USD","A","1988",2555.75675787365,
"DNK","GDEXPRD","TOT","MLN_USD","A","1989",2653.28910199817,
"DNK","GDEXPRD","TOT","MLN_USD","A","1990",2826.06180727887,
"DNK","GDEXPRD","TOT","MLN_USD","A","1991",2986.70356999734,
"DNK","GDEXPRD","TOT","MLN_USD","A","1992",3104.12491087253,
"DNK","GDEXPRD","TOT","MLN_USD","A","1993",3251.5498384002,
"DNK","GDEXPRD","TOT","MLN_USD","A","1995",3734.46960165496,
"DNK","GDEXPRD","TOT","MLN_USD","A","1996",3880.66013627844,
"DNK","GDEXPRD","TOT","MLN_USD","A","1997",4190.12477771731,
"DNK","GDEXPRD","TOT","MLN_USD","A","1998",4548.43787685166,
"DNK","GDEXPRD","TOT","MLN_USD","A","1999",4966.00418671333,
"DNK","GDEXPRD","TOT","MLN_USD","A","2001",5675.50013777051,
"DNK","GDEXPRD","TOT","MLN_USD","A","2002",5988.41035466269,
"DNK","GDEXPRD","TOT","MLN_USD","A","2003",6182.65648758319,
"DNK","GDEXPRD","TOT","MLN_USD","A","2004",6115.84436462384,
"DNK","GDEXPRD","TOT","MLN_USD","A","2005",6192.02593689006,
"DNK","GDEXPRD","TOT","MLN_USD","A","2006",6460.20877500751,
"DNK","GDEXPRD","TOT","MLN_USD","A","2007",6823.89662614114,
"DNK","GDEXPRD","TOT","MLN_USD","A","2008",7485.40607610404,
"DNK","GDEXPRD","TOT","MLN_USD","A","2009",7841.08017128737,
"DNK","GDEXPRD","TOT","MLN_USD","A","2010",7626.78165349961,
"DNK","GDEXPRD","TOT","MLN_USD","A","2011",7801.82114408474,
"DNK","GDEXPRD","TOT","MLN_USD","A","2012",7916.67191575891,
