date,US_Expense,US_Business,US_Cost,US_Tax,US_Investment,US_Credit,US_Technology,US_Economy,US_Innovation,US_Income,US_Salary,US_Manufacturing,US_Loan,US_Investor,US_Business_loan,US_Investment_fund,US_Investment_banking,US_Tax_credit,US_Research_&_Experimentation_Tax_Credit,US_Stock,US_Small_Business_Innovation_Research,US_Income_statement,US_Budget,US_Education,US_Medicine,US_Scholarship,US_Collaboration,US_Data,US_Health,US_Disease,US_Job,US_Career,US_Laboratory,US_Wage,US_Tax_deduction,US_Tax_report,US_Research_and_Development_Tax_Credit,US_Tax_incentive,US_Innovation_management,US_Entrepreneurship,US_Patent,US_Trademark,US_Patent_application,US_Law,US_Patent_office,US_Invention,US_Law_firm,US_Trademark_attorney,US_Patent_infringement,US_Capitalization,US_Energy,US_Business_model,US_Subsidy,US_Sustainability,US_Semiconductor,US_Investment_management,US_Employment,CN_Expense,CN_Business,CN_Cost,CN_Tax,CN_Investment,CN_Credit,CN_Technology,CN_Economy,CN_Innovation,CN_Income,CN_Salary,CN_Manufacturing,CN_Loan,CN_Investor,CN_Business_loan,CN_Investment_fund,CN_Investment_banking,CN_Tax_credit,CN_Stock,CN_Small_Business_Innovation_Research,CN_Income_statement,CN_Budget,CN_Education,CN_Medicine,CN_Scholarship,CN_Collaboration,CN_Data,CN_Health,CN_Disease,CN_Job,CN_Career,CN_Laboratory,CN_Wage,CN_Tax_deduction,CN_Tax_report,CN_Tax_incentive,CN_Innovation_management,CN_Entrepreneurship,CN_Patent,CN_Trademark,CN_Patent_application,CN_Law,CN_Patent_office,CN_Invention,CN_Law_firm,CN_Patent_infringement,CN_Capitalization,CN_Energy,CN_Business_model,CN_Subsidy,CN_Sustainability,CN_Semiconductor,CN_Investment_management,CN_Employment,JP_Expense,JP_Business,JP_Cost,JP_Tax,JP_Investment,JP_Credit,JP_Technology,JP_Economy,JP_Innovation,JP_Income,JP_Salary,JP_Manufacturing,JP_Loan,JP_Investor,JP_Business_loan,JP_Investment_fund,JP_Investment_banking,JP_Tax_credit,JP_Stock,JP_Small_Business_Innovation_Research,JP_Income_statement,JP_Budget,JP_Education,JP_Medicine,JP_Scholarship,JP_Collaboration,JP_Data,JP_Health,JP_Disease,JP_Job,JP_Career,JP_Laboratory,JP_Wage,JP_Tax_deduction,JP_Tax_report,JP_Tax_incentive,JP_Innovation_management,JP_Entrepreneurship,JP_Patent,JP_Trademark,JP_Patent_application,JP_Law,JP_Patent_office,JP_Invention,JP_Law_firm,JP_Trademark_attorney,JP_Patent_infringement,JP_Capitalization,JP_Energy,JP_Business_model,JP_Subsidy,JP_Sustainability,JP_Semiconductor,JP_Investment_management,JP_Employment,DE_Expense,DE_Business,DE_Cost,DE_Tax,DE_Investment,DE_Credit,DE_Technology,DE_Economy,DE_Innovation,DE_Income,DE_Salary,DE_Manufacturing,DE_Loan,DE_Investor,DE_Business_loan,DE_Investment_fund,DE_Investment_banking,DE_Tax_credit,DE_Research_&_Experimentation_Tax_Credit,DE_Stock,DE_Small_Business_Innovation_Research,DE_Income_statement,DE_Budget,DE_Medicine,DE_Scholarship,DE_Collaboration,DE_Data,DE_Health,DE_Disease,DE_Job,DE_Career,DE_Laboratory,DE_Wage,DE_Tax_deduction,DE_Tax_report,DE_Research_and_Development_Tax_Credit,DE_Tax_incentive,DE_Innovation_management,DE_Entrepreneurship,DE_Patent,DE_Trademark,DE_Patent_application,DE_Law,DE_Patent_office,DE_Invention,DE_Law_firm,DE_Trademark_attorney,DE_Patent_infringement,DE_Capitalization,DE_Energy,DE_Business_model,DE_Subsidy,DE_Sustainability,DE_Semiconductor,DE_Investment_management,DE_Employment,KR_Expense,KR_Business,KR_Cost,KR_Tax,KR_Investment,KR_Credit,KR_Technology,KR_Economy,KR_Innovation,KR_Income,KR_Salary,KR_Manufacturing,KR_Loan,KR_Investor,KR_Business_loan,KR_Investment_fund,KR_Investment_banking,KR_Tax_credit,KR_Research_&_Experimentation_Tax_Credit,KR_Stock,KR_Small_Business_Innovation_Research,KR_Income_statement,KR_Budget,KR_Education,KR_Medicine,KR_Scholarship,KR_Collaboration,KR_Data,KR_Health,KR_Disease,KR_Job,KR_Career,KR_Laboratory,KR_Wage,KR_Tax_deduction,KR_Tax_report,KR_Research_and_Development_Tax_Credit,KR_Tax_incentive,KR_Innovation_management,KR_Entrepreneurship,KR_Patent,KR_Trademark,KR_Patent_application,KR_Law,KR_Patent_office,KR_Invention,KR_Law_firm,KR_Trademark_attorney,KR_Patent_infringement,KR_Capitalization,KR_Energy,KR_Business_model,KR_Subsidy,KR_Sustainability,KR_Semiconductor,KR_Investment_management,KR_Employment,CA_Expense,CA_Business,CA_Cost,CA_Tax,CA_Investment,CA_Credit,CA_Technology,CA_Economy,CA_Innovation,CA_Income,CA_Salary,CA_Manufacturing,CA_Loan,CA_Investor,CA_Business_loan,CA_Investment_fund,CA_Investment_banking,CA_Tax_credit,CA_Research_&_Experimentation_Tax_Credit,CA_Stock,CA_Small_Business_Innovation_Research,CA_Income_statement,CA_Budget,CA_Education,CA_Medicine,CA_Scholarship,CA_Collaboration,CA_Data,CA_Health,CA_Disease,CA_Job,CA_Career,CA_Laboratory,CA_Wage,CA_Tax_deduction,CA_Tax_report,CA_Research_and_Development_Tax_Credit,CA_Tax_incentive,CA_Innovation_management,CA_Entrepreneurship,CA_Patent,CA_Trademark,CA_Patent_application,CA_Law,CA_Patent_office,CA_Invention,CA_Law_firm,CA_Trademark_attorney,CA_Patent_infringement,CA_Capitalization,CA_Energy,CA_Business_model,CA_Subsidy,CA_Sustainability,CA_Semiconductor,CA_Investment_management,CA_Employment,CH_Expense,CH_Business,CH_Cost,CH_Tax,CH_Investment,CH_Credit,CH_Technology,CH_Economy,CH_Innovation,CH_Income,CH_Salary,CH_Manufacturing,CH_Loan,CH_Investor,CH_Business_loan,CH_Investment_fund,CH_Investment_banking,CH_Tax_credit,CH_Stock,CH_Income_statement,CH_Budget,CH_Education,CH_Medicine,CH_Scholarship,CH_Collaboration,CH_Data,CH_Health,CH_Disease,CH_Job,CH_Career,CH_Laboratory,CH_Wage,CH_Tax_deduction,CH_Tax_report,CH_Innovation_management,CH_Entrepreneurship,CH_Patent,CH_Trademark,CH_Patent_application,CH_Law,CH_Patent_office,CH_Invention,CH_Law_firm,CH_Trademark_attorney,CH_Patent_infringement,CH_Capitalization,CH_Energy,CH_Business_model,CH_Subsidy,CH_Sustainability,CH_Semiconductor,CH_Investment_management,CH_Employment,GB_Expense,GB_Business,GB_Cost,GB_Tax,GB_Investment,GB_Credit,GB_Technology,GB_Economy,GB_Innovation,GB_Income,GB_Salary,GB_Manufacturing,GB_Loan,GB_Investor,GB_Business_loan,GB_Investment_fund,GB_Investment_banking,GB_Tax_credit,GB_Research_&_Experimentation_Tax_Credit,GB_Stock,GB_Small_Business_Innovation_Research,GB_Income_statement,GB_Budget,GB_Education,GB_Medicine,GB_Scholarship,GB_Collaboration,GB_Data,GB_Health,GB_Disease,GB_Job,GB_Career,GB_Laboratory,GB_Wage,GB_Tax_deduction,GB_Tax_report,GB_Research_and_Development_Tax_Credit,GB_Tax_incentive,GB_Innovation_management,GB_Entrepreneurship,GB_Patent,GB_Trademark,GB_Patent_application,GB_Patent_office,GB_Trademark_attorney,GB_Patent_infringement,GB_Capitalization,GB_Energy,GB_Business_model,GB_Subsidy,GB_Sustainability,GB_Investment_management,GB_Employment
2007-09-01,34,83,32,30,71,54,55,44,77,33,35,51,27,71,47,60,69,4,20,12,52,44,45,65,69,49,46,62,0,63,68,62,80,51,20,8,0,11,49,21,82,62,65,71,33,41,76,69,53,29,53,68,43,48,35,57,67,12,13,56,40,50,24,6,14,4,36,56,52,31,20,1,10,26,10,70,0,19,60,13,42,20,12,20,7,24,9,8,26,2,3,2,0,3,8,46,60,43,47,63,40,52,7,20,11,12,26,12,31,0,13,58,11,39,40,67,30,56,57,21,13,40,40,63,57,0,7,57,27,39,29,0,57,9,65,24,6,12,11,30,10,51,37,24,0,5,20,0,44,65,60,40,58,17,42,87,12,11,23,55,45,18,8,59,60,37,56,81,24,57,66,73,50,0,61,40,28,0,3,60,0,42,38,29,0,10,0,27,44,0,48,48,61,28,37,0,31,18,35,33,20,39,9,0,22,51,23,30,43,38,0,43,22,0,46,76,24,21,15,32,51,20,27,0,0,0,79,56,54,57,50,54,37,56,40,37,0,0,33,0,0,21,0,17,65,52,56,11,52,51,41,60,78,41,52,54,22,0,0,0,8,0,57,18,0,18,39,56,29,9,24,0,57,53,20,39,46,56,35,20,66,26,19,42,48,55,40,60,29,26,42,21,58,15,49,76,13,0,5,8,35,28,60,54,60,45,48,56,58,63,60,53,33,25,8,16,14,15,29,51,62,6,66,20,31,56,11,22,21,72,36,11,59,22,72,85,0,78,28,31,69,81,63,59,49,32,28,64,69,50,0,69,53,52,9,37,0,75,63,88,32,32,30,49,64,48,29,36,19,16,25,21,78,38,11,75,55,25,99,0,0,32,67,36,27,28,36,50,46,18,69,26,39,68,0,52,38,61,39,21,39,41,45,24,60,62,31,0,19,0,0,20,52,59,39,31,47,0,48,70,72,53,41,23,21,9,18,26,15,41,55,29,26,8,11,19,31,33,21,56,44,0
2007-10-01,42,76,33,37,80,57,57,49,84,41,39,56,26,81,50,69,78,5,16,15,42,46,53,66,73,54,50,71,0,72,69,68,81,61,24,10,0,13,73,22,78,70,68,82,36,45,83,62,56,32,67,76,47,60,35,66,68,12,14,59,45,51,23,6,16,5,38,56,49,29,22,1,11,33,5,71,2,23,67,14,43,33,14,20,7,26,10,16,24,3,2,2,0,7,9,47,58,53,51,64,40,52,9,20,15,10,25,16,32,0,13,68,12,42,43,73,31,61,66,32,13,49,35,58,64,15,9,71,36,43,18,0,71,10,67,32,7,12,11,28,11,52,35,26,0,6,51,13,37,69,62,43,60,29,53,88,0,5,46,60,67,19,11,63,62,41,64,86,25,59,71,78,57,0,62,39,28,0,3,59,0,46,48,28,0,12,0,38,46,0,48,51,61,29,38,0,32,19,35,47,16,30,0,0,31,55,24,24,47,39,0,50,16,31,43,75,33,20,17,35,52,22,30,0,0,0,92,62,70,67,62,52,48,62,45,18,0,0,22,0,0,19,8,29,55,65,69,17,45,62,49,69,77,42,52,58,0,0,0,10,0,14,71,11,31,17,34,64,32,0,12,47,64,24,24,42,59,60,43,23,69,29,22,48,44,54,49,68,38,27,42,18,68,12,52,70,11,0,6,11,46,33,56,55,60,44,51,60,63,57,55,55,34,26,7,0,19,10,29,53,62,25,69,32,37,59,0,37,28,78,44,11,58,22,70,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,74,30,39,72,0,58,47,73,48,22,43,37,50,26,73,75,26,0,19,0,0,27,49,62,46,32,54,0,50,67,82,54,46,26,10,10,9,0,19,50,50,9,35,23,16,26,35,35,25,72,50,0
2007-11-01,41,70,36,36,69,53,57,53,79,36,36,51,25,75,43,68,68,5,48,15,52,47,48,63,67,56,45,68,0,72,61,61,75,53,23,8,0,18,35,19,70,63,52,74,31,43,77,46,50,30,65,61,47,52,32,60,62,14,15,63,46,48,27,6,17,5,41,67,55,28,20,1,6,32,9,62,0,23,71,14,49,26,16,23,8,25,10,14,26,2,4,3,0,5,8,52,60,54,55,67,36,61,11,22,14,13,31,20,35,0,15,70,12,43,48,73,32,65,73,27,14,53,34,59,63,26,8,67,54,42,0,0,60,11,66,28,7,13,12,27,10,52,36,27,0,16,98,14,39,73,68,43,61,28,51,80,0,13,15,66,60,18,13,67,47,37,62,82,27,59,69,65,57,0,64,42,31,0,2,57,0,45,55,22,27,13,0,47,42,0,53,57,59,28,36,0,32,19,35,42,16,0,6,0,32,54,22,32,49,34,0,42,8,0,52,92,35,23,17,37,48,22,30,0,0,0,83,49,64,72,50,49,40,68,30,28,0,0,42,5,0,20,7,23,68,64,61,13,36,63,54,66,70,33,54,63,0,0,0,30,7,10,77,26,10,18,26,51,21,0,12,33,70,20,11,34,54,31,41,24,68,32,22,55,46,58,55,68,38,27,41,16,77,9,54,58,13,13,7,0,48,33,58,51,51,52,53,60,71,56,56,54,35,27,8,0,27,21,27,55,62,23,67,25,41,57,16,12,32,88,45,11,66,23,78,77,0,87,29,33,80,80,71,68,61,46,32,66,52,48,0,78,55,0,12,25,0,74,61,68,43,33,32,51,59,58,27,52,16,8,0,17,69,28,22,79,45,42,48,43,0,37,90,16,35,35,43,60,47,23,77,31,37,76,0,60,60,74,44,23,42,35,69,22,67,73,25,0,24,0,0,21,53,61,45,47,58,0,53,61,81,55,40,27,11,18,6,28,26,52,56,35,33,32,19,31,37,54,29,76,49,0
2007-12-01,36,59,31,36,65,52,47,40,67,36,32,44,23,65,38,66,61,6,20,13,33,32,46,50,57,53,39,57,0,56,54,49,59,51,30,12,26,13,32,15,63,51,56,65,28,34,62,37,47,25,57,50,40,43,27,52,55,15,13,57,49,43,30,6,17,5,41,74,53,28,20,0,5,34,2,48,1,26,71,14,58,20,14,23,7,28,9,11,24,2,2,3,0,5,8,45,55,47,56,59,38,63,6,24,13,14,35,19,33,0,13,59,10,37,43,64,29,57,60,17,13,54,30,52,51,13,9,52,58,41,0,0,76,9,59,28,6,12,11,25,9,44,36,22,0,12,85,12,36,67,62,42,57,6,41,76,0,6,23,59,47,16,10,57,43,34,48,69,22,54,56,56,44,0,53,33,22,0,2,45,0,38,48,17,100,11,8,28,41,0,40,46,56,23,31,0,25,14,30,30,19,0,0,0,25,47,16,16,40,24,0,34,0,0,41,71,28,19,14,29,36,16,33,0,0,0,82,41,71,67,64,49,52,57,30,35,0,0,41,11,0,18,0,13,57,63,65,13,33,55,60,70,71,32,58,64,21,0,0,0,8,18,58,25,0,16,27,42,38,0,14,14,65,27,19,37,51,34,46,19,57,27,20,40,43,44,44,56,30,23,34,14,56,8,49,52,16,0,6,0,30,27,44,44,47,36,44,48,54,45,44,40,29,28,8,0,0,17,18,49,52,30,53,18,32,45,0,19,17,73,23,8,50,17,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,55,25,30,54,0,42,44,57,34,19,28,28,45,20,51,54,19,0,21,0,0,19,40,51,39,34,46,0,42,47,56,45,29,24,13,22,0,23,20,40,47,23,20,12,22,25,28,35,23,61,35,0
2008-01-01,47,70,36,66,78,62,52,52,74,57,39,53,31,76,53,78,72,14,32,14,43,39,54,65,67,79,42,67,0,65,79,75,70,65,63,51,12,23,46,20,75,65,59,70,33,43,83,69,52,28,60,64,43,54,32,63,76,14,13,56,51,49,28,6,14,5,43,81,49,29,23,0,6,31,3,61,2,30,69,12,39,16,12,24,7,24,10,9,23,2,1,4,0,3,7,43,55,42,46,56,28,56,9,24,13,11,32,15,31,0,15,78,11,46,59,75,33,61,80,24,15,59,33,73,60,0,10,71,100,49,0,0,78,11,67,37,6,13,13,29,11,53,35,27,0,32,71,16,40,70,65,54,62,37,61,84,8,14,34,66,56,18,13,65,56,40,69,82,25,69,74,79,53,0,63,40,33,0,3,64,0,49,48,30,0,13,3,42,45,0,51,44,59,32,37,0,32,18,38,50,32,0,0,0,30,54,22,31,50,38,0,46,0,0,41,78,35,25,17,35,59,24,35,0,0,0,91,53,67,64,54,55,63,70,28,55,0,0,45,14,0,24,10,22,53,58,63,19,39,54,54,70,88,42,55,64,49,42,8,24,0,0,76,30,24,18,23,46,41,5,12,31,61,38,16,40,49,62,64,24,75,34,33,57,52,53,47,63,49,29,39,19,79,11,66,64,18,20,7,11,49,34,65,61,58,41,53,64,68,70,62,46,39,46,17,0,26,24,26,54,55,26,70,28,38,57,0,19,20,82,41,11,59,19,82,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,72,33,51,72,0,56,63,69,57,26,42,38,53,26,78,62,30,10,23,42,0,26,56,66,46,35,57,0,51,82,94,51,40,38,53,4,6,14,23,49,55,18,35,19,23,22,40,41,30,68,49,0
2008-02-01,54,81,35,74,70,58,51,58,74,64,33,56,27,74,45,61,62,13,55,13,31,44,56,65,67,73,44,66,0,66,69,61,69,50,73,72,0,30,44,19,67,63,56,68,31,51,73,40,56,28,60,68,44,57,31,58,62,11,11,45,37,43,20,5,10,3,35,61,38,22,15,0,4,29,4,44,0,20,52,9,30,14,9,20,6,27,9,8,15,2,1,9,0,5,15,36,43,42,32,41,41,49,8,15,10,9,20,10,24,0,10,69,11,47,65,69,33,60,66,21,15,56,36,77,58,0,9,59,90,43,0,0,84,10,66,34,7,13,14,25,11,52,38,25,0,71,26,19,39,72,74,88,64,35,56,81,0,17,10,59,53,20,14,63,63,42,69,82,27,76,68,78,51,0,62,45,31,0,3,60,0,44,40,22,0,11,3,42,45,0,48,54,60,33,38,0,32,20,40,50,39,0,17,0,30,62,22,31,53,35,0,51,24,22,49,79,28,26,18,38,60,29,33,0,0,0,74,59,62,50,34,54,50,55,38,32,0,0,29,17,0,19,0,24,51,55,63,18,37,54,45,52,81,30,52,46,30,51,0,0,0,9,64,25,14,18,26,45,28,0,29,24,53,23,15,21,47,37,46,30,70,33,45,52,50,57,49,68,62,32,41,17,73,9,62,52,21,0,6,0,52,51,57,57,55,44,51,65,66,64,64,51,39,48,32,0,30,0,31,53,61,18,69,35,42,54,20,24,27,84,45,12,58,20,77,91,0,83,30,56,79,83,64,64,61,45,32,58,63,47,0,78,34,31,12,43,0,73,66,63,25,34,36,52,64,53,40,43,28,17,22,14,56,17,9,83,46,34,65,0,0,38,78,34,30,33,34,35,56,22,68,31,40,68,33,49,51,69,50,24,42,40,51,25,66,55,29,8,15,16,0,25,53,58,47,34,53,0,54,71,77,53,35,25,13,17,10,23,21,44,54,23,31,27,7,21,37,43,25,70,42,0
2008-03-01,53,76,42,73,76,65,54,60,75,64,39,53,29,80,48,73,70,10,38,15,44,41,59,65,73,75,47,67,0,74,73,62,67,57,64,64,19,34,54,20,73,75,70,77,31,42,82,54,49,29,67,66,48,60,31,58,70,14,13,56,42,100,29,5,13,5,44,70,55,27,17,0,4,28,5,45,2,26,65,12,47,16,12,22,6,33,9,10,23,2,4,8,2,4,16,45,54,50,44,59,35,60,9,20,12,16,29,13,32,0,11,79,13,44,67,66,34,63,61,26,15,58,33,72,60,0,10,70,73,48,15,0,77,11,64,36,7,13,14,28,11,57,41,25,0,66,40,0,39,68,65,73,60,25,58,82,11,9,30,53,51,19,11,54,64,48,68,84,26,70,69,76,52,0,59,46,30,0,3,62,0,43,45,25,0,11,0,39,46,0,47,54,69,35,39,0,32,18,38,43,39,0,19,0,33,55,21,26,52,30,0,58,9,0,46,73,29,22,16,34,38,30,34,0,0,0,82,46,70,64,60,56,45,67,31,39,0,0,49,9,0,20,0,19,52,63,73,16,62,64,52,70,83,47,63,70,36,45,0,26,10,25,62,23,14,17,29,63,34,0,17,23,72,38,47,39,52,39,53,38,73,37,53,51,53,48,52,71,78,30,41,18,70,10,51,71,24,45,6,0,47,43,53,53,55,43,50,58,63,68,58,49,42,49,47,0,22,20,32,51,59,22,69,22,31,53,0,13,24,86,44,13,63,18,75,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,68,32,54,71,0,51,61,66,57,25,40,36,48,28,65,50,31,0,17,11,0,73,58,58,45,40,52,0,50,69,73,51,40,31,14,8,6,8,22,43,58,22,25,23,13,19,35,40,28,69,41,0
2008-04-01,52,73,40,86,73,56,57,67,76,67,41,54,29,79,43,68,60,11,31,14,43,46,57,69,70,68,46,66,0,77,82,63,76,55,54,82,0,64,52,21,74,71,60,75,28,43,75,50,58,32,71,74,55,69,31,59,73,15,14,59,43,91,32,6,15,5,42,68,55,32,18,2,4,33,6,47,6,33,67,12,54,14,13,26,7,33,10,9,23,2,2,7,3,4,51,44,58,46,47,58,20,59,12,25,13,17,31,15,30,0,13,79,12,44,67,66,33,70,69,19,14,59,33,58,55,26,9,60,40,45,7,0,71,14,72,53,7,13,17,28,11,53,47,26,0,6,26,23,40,81,73,55,73,55,72,87,0,12,18,65,63,22,16,61,58,45,68,81,29,68,76,80,62,0,63,48,31,0,3,67,0,41,43,32,28,11,0,33,48,0,53,51,64,37,42,0,38,23,36,53,33,0,18,0,40,65,25,29,62,37,0,60,0,0,44,89,34,24,20,39,53,33,44,0,0,0,91,42,65,72,60,53,53,65,23,57,0,0,30,9,0,18,0,23,59,66,68,15,51,66,55,84,79,37,64,60,0,26,0,16,10,17,64,43,24,18,45,60,25,0,0,13,76,38,14,53,54,41,54,40,68,37,54,49,52,51,50,69,75,34,39,17,76,12,51,46,26,0,6,13,36,36,55,53,58,42,49,58,67,72,62,50,45,52,51,0,25,12,27,51,57,12,69,27,39,55,11,24,24,93,31,14,61,19,83,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,69,34,53,71,0,54,64,71,62,26,41,36,54,24,67,43,50,17,17,0,0,25,52,61,46,43,57,0,57,70,66,57,43,30,20,5,10,26,29,48,59,19,27,19,10,23,36,60,30,79,42,0
2008-05-01,37,70,39,50,68,60,55,68,67,41,40,51,28,70,39,63,58,6,37,13,45,40,55,66,66,54,44,63,0,70,72,60,71,58,19,18,0,100,41,18,73,61,64,76,30,45,75,49,52,26,71,59,58,67,30,55,69,16,14,54,38,100,30,5,15,6,46,57,51,28,18,0,4,30,4,40,1,26,61,12,37,13,12,24,7,48,9,9,22,2,2,5,0,5,100,42,51,36,44,54,27,48,11,23,13,14,24,16,28,0,14,69,12,43,63,63,31,84,64,24,14,53,32,61,56,27,8,56,45,51,15,0,69,14,73,37,8,14,15,32,10,51,44,23,0,6,23,0,41,66,70,53,76,26,72,80,0,0,18,69,48,20,21,61,53,45,72,81,28,70,68,77,54,0,60,46,31,0,2,66,0,38,39,37,0,11,0,42,54,0,56,52,61,36,43,0,32,22,36,41,43,0,6,0,41,59,22,33,61,29,0,51,16,0,44,79,36,26,18,33,47,35,36,0,0,0,82,37,64,60,67,66,46,60,26,18,0,0,47,9,0,18,0,9,51,58,69,11,43,57,53,100,68,31,54,46,0,17,0,50,11,30,62,14,19,15,0,55,18,4,8,0,69,15,25,40,50,40,40,23,62,32,29,45,47,50,44,60,42,28,39,16,69,9,48,45,15,0,5,22,35,29,47,49,54,42,46,54,60,66,59,47,37,30,19,19,29,0,20,49,51,25,62,26,36,53,0,29,22,84,33,12,56,20,75,86,0,79,32,41,83,85,60,65,57,70,28,59,39,49,0,76,35,42,10,40,0,65,55,61,45,31,35,50,63,44,27,47,22,44,18,25,71,29,6,82,42,100,72,16,63,37,76,33,31,33,36,63,45,24,71,30,50,61,34,55,63,68,55,25,36,35,48,23,62,41,39,16,17,0,0,23,52,59,51,39,53,0,55,70,65,56,39,30,18,5,8,37,23,43,53,17,23,27,8,18,36,48,30,73,43,0
2008-06-01,37,79,42,41,70,62,50,45,71,36,39,51,31,74,39,59,60,5,0,13,45,38,52,58,69,48,44,67,0,65,85,61,68,62,19,12,14,50,53,16,72,56,55,76,30,26,85,62,49,27,72,61,62,54,29,57,80,14,13,59,34,91,29,5,15,5,41,59,52,27,23,0,4,32,5,34,2,27,57,13,43,14,12,22,6,30,9,8,21,2,3,4,5,4,56,39,48,39,42,48,19,49,9,25,12,12,25,15,25,0,12,72,11,45,57,57,31,63,68,22,14,51,36,61,65,14,7,62,35,39,9,0,64,14,68,27,8,13,15,32,10,52,37,25,0,5,29,22,36,72,65,43,69,39,56,79,0,0,27,82,54,20,16,57,61,43,67,83,29,60,66,80,56,0,60,43,32,0,2,58,0,37,45,22,44,11,0,40,49,0,59,53,58,34,43,0,30,22,35,36,21,0,0,0,40,55,24,26,61,27,0,43,16,0,52,80,30,25,19,39,57,36,33,0,0,0,78,39,64,68,51,59,49,54,25,36,0,0,40,12,0,18,0,24,67,63,57,11,32,61,49,85,74,37,49,58,26,10,0,0,0,28,59,13,10,18,46,40,38,0,10,18,78,20,21,60,41,41,45,22,62,34,27,44,45,47,41,61,35,26,39,21,70,10,46,52,14,0,5,33,36,30,53,52,50,39,49,56,57,68,59,44,37,31,13,13,39,22,26,48,54,35,62,15,27,58,9,0,21,82,21,12,51,19,72,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,63,31,45,65,0,51,50,65,47,25,38,36,48,20,62,47,41,13,19,33,0,21,55,60,46,35,51,0,51,80,75,52,40,27,17,8,10,19,22,42,54,16,23,45,14,30,39,37,31,63,43,0
2008-07-01,37,72,39,38,74,62,48,42,69,36,38,52,33,81,40,62,60,6,38,15,43,36,56,54,73,47,43,70,0,64,87,62,68,65,20,11,0,28,47,19,79,72,70,75,28,20,82,38,49,27,69,58,66,53,30,59,81,10,13,53,39,93,26,5,11,4,37,60,51,27,18,1,3,28,5,34,1,25,55,11,42,13,10,22,7,32,8,6,19,2,2,3,0,3,17,40,51,40,34,49,30,48,10,24,11,8,29,10,27,0,9,75,12,46,47,61,32,64,81,22,14,49,32,60,54,0,8,49,30,42,10,0,69,14,67,27,8,14,17,32,10,50,44,25,0,4,16,17,34,73,70,45,74,46,62,83,31,7,19,93,57,19,18,57,46,58,67,76,28,55,67,81,50,0,58,42,33,0,2,60,0,35,39,14,0,11,0,44,53,0,61,53,60,32,38,0,32,23,39,40,18,0,0,0,36,58,19,35,58,30,0,48,0,0,42,81,34,21,16,31,54,38,30,0,0,0,83,47,61,58,53,56,48,55,26,33,0,0,46,6,0,20,0,6,51,51,64,15,34,55,46,62,78,40,57,57,17,19,0,0,0,16,69,17,0,19,24,34,39,0,0,0,71,21,19,32,43,39,48,20,68,35,25,46,49,45,32,58,33,32,36,25,72,11,49,48,16,12,6,10,31,33,44,57,47,37,52,56,59,71,55,45,37,32,12,0,42,23,18,46,51,34,59,24,15,64,0,20,19,73,35,12,43,18,74,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,69,30,51,66,0,46,43,66,46,25,39,36,46,21,61,49,49,15,21,49,0,21,46,55,44,32,50,0,46,77,76,55,38,27,17,8,10,12,22,44,54,20,25,43,34,25,40,32,32,60,41,0
